RLH_CNT,RLH_H_RAC,RLP_CNT,RLP_P_RAC,INFO_TIME,DISTRICT
2357,11.48,5549,10.0,104Y06M,BanQiao
2502,16.92,6148,15.82,104Y06M,SanChong
2079,12.78,4892,11.8,104Y06M,ZhongHe
1024,11.28,2303,10.16,104Y06M,YongHe
2004,13.53,5462,13.25,104Y06M,XinZhuang
1324,10.74,2670,8.91,104Y06M,XinDian
1041,15.96,2887,15.69,104Y06M,ShuLin
683,23.27,1927,21.8,104Y06M,YingGe
812,19.92,2223,19.84,104Y06M,SanXia
678,9.79,1519,9.47,104Y06M,TamSui
839,9.92,2102,10.76,104Y06M,XiZhi
586,36.47,1207,29.42,104Y06M,RuiFang
1531,17.86,4085,17.11,104Y06M,TuCheng
1189,17.18,3229,16.17,104Y06M,LuZhou
476,16.08,1269,15.39,104Y06M,WuGu
208,7.47,543,6.92,104Y06M,TaiShan
251,6.51,670,6.77,104Y06M,LinKou
98,10.45,206,8.74,104Y06M,ShenKeng
62,18.43,127,16.23,104Y06M,ShiDing
32,12.83,64,9.87,104Y06M,PingLin
150,16.1,389,16.58,104Y06M,SanZhi
44,10.22,93,7.35,104Y06M,ShiMen
253,18.22,597,16.01,104Y06M,BaLi
95,40.43,211,43.06,104Y06M,PingXi
115,30.03,254,27.26,104Y06M,ShuangXi
149,33.85,356,27.57,104Y06M,GongLiao
146,20.85,339,15.23,104Y06M,JinShan
438,59.29,685,30.31,104Y06M,WanLi
95,52.84,291,47.49,104Y06M,WuLai
