RLH_CNT,RLH_H_RAC,RLP_CNT,RLP_P_RAC,INFO_TIME,DISTRICT
2909,14.2,7207,12.96,103Y12M,BanQiao
2599,17.63,6614,16.99,103Y12M,SanChong
2120,13.06,5266,12.68,103Y12M,ZhongHe
1139,12.56,2592,11.41,103Y12M,YongHe
2341,15.92,6376,15.49,103Y12M,XinZhuang
1609,13.1,3482,11.62,103Y12M,XinDian
1040,15.99,2813,15.27,103Y12M,ShuLin
740,25.34,2048,22.99,103Y12M,YingGe
853,21.14,2220,19.89,103Y12M,SanXia
654,9.58,1461,9.19,103Y12M,TamSui
988,11.73,2470,12.66,103Y12M,XiZhi
597,37.11,1165,28.2,103Y12M,RuiFang
1547,18.08,4099,17.13,103Y12M,TuCheng
1188,17.24,3330,16.67,103Y12M,LuZhou
463,15.8,1180,14.35,103Y12M,WuGu
220,7.95,548,6.99,103Y12M,TaiShan
283,7.48,746,7.64,103Y12M,LinKou
103,11.04,241,10.2,103Y12M,ShenKeng
63,18.71,117,14.88,103Y12M,ShiDing
35,14.12,72,11.15,103Y12M,PingLin
155,16.7,378,16.1,103Y12M,SanZhi
102,23.82,139,10.92,103Y12M,ShiMen
269,19.54,619,16.65,103Y12M,BaLi
99,42.11,209,42.19,103Y12M,PingXi
124,32.27,266,28.15,103Y12M,ShuangXi
158,35.63,364,27.75,103Y12M,GongLiao
149,21.28,335,14.96,103Y12M,JinShan
461,62.56,704,31.04,103Y12M,WanLi
103,57.48,136,22.06,103Y12M,WuLai
