C_CNT,C1_A_CNT,C1_B_CNT,C1_C_CNT,C1_D_CNT,C1_E_CNT,C1_F_CNT,C1_G_CNT,C1_H_CNT,C1_I_CNT,C1_J_CNT,C1_K_CNT,C1_L_CNT,C1_M_CNT,C1_N_CNT,C1_O_CNT,C1_P_CNT,C1_Q_CNT,C1_R_CNT,C1_S_CNT,INFO_TIME,DISTRICT
28456,41,7,2565,7,118,3257,13318,2082,1848,485,598,707,1122,534,0,39,13,390,1325,103Y12M,BanQiao
25220,22,3,4580,7,96,1963,12936,359,1455,321,402,523,747,395,0,19,6,380,1006,103Y12M,SanChong
23017,39,8,3523,4,69,2420,11167,461,1370,456,423,435,922,469,0,18,3,328,902,103Y12M,ZhongHe
9881,21,1,456,3,27,936,5106,142,819,206,269,313,531,237,0,20,1,212,581,103Y12M,YongHe
23373,16,6,5951,5,114,2128,9942,407,1392,207,369,598,543,419,0,29,8,330,909,103Y12M,XinZhuang
13981,33,6,1153,3,47,1393,6893,248,1191,392,333,362,657,294,0,28,6,288,654,103Y12M,XinDian
11332,12,4,4092,4,62,811,4317,398,443,81,114,202,209,137,0,5,1,125,315,103Y12M,ShuLin
4428,3,8,901,3,23,475,2290,99,151,34,48,70,74,64,0,0,1,45,139,103Y12M,YingGe
4431,20,6,439,2,25,438,2305,157,372,41,56,98,102,81,1,6,2,66,214,103Y12M,SanXia
7762,280,2,598,3,21,723,3447,210,954,112,97,247,302,175,0,13,3,172,403,103Y12M,TamSui
11534,16,4,1532,5,43,1274,5556,332,753,251,197,263,464,217,0,14,8,175,430,103Y12M,XiZhi
1920,8,4,119,2,7,280,980,58,273,7,12,11,20,34,0,0,2,30,73,103Y12M,RuiFang
11112,12,4,1931,4,51,1394,4911,712,611,119,163,179,269,192,0,8,1,159,392,103Y12M,TuCheng
9460,6,2,1642,1,48,1074,4493,142,636,86,142,259,210,146,0,6,1,154,412,103Y12M,LuZhou
5561,10,2,1862,1,29,459,2175,110,180,38,116,200,100,60,0,2,4,57,156,103Y12M,WuGu
3967,4,4,789,1,24,401,1874,98,263,23,43,59,98,61,0,3,0,71,151,103Y12M,TaiShan
4435,11,5,481,11,24,438,2104,111,337,55,109,275,160,74,0,2,2,71,165,103Y12M,LinKou
1257,5,0,117,0,4,144,623,37,132,22,20,16,47,21,0,0,0,27,42,103Y12M,ShenKeng
164,1,0,21,0,1,17,83,0,30,2,3,0,2,1,0,0,0,2,1,103Y12M,ShiDing
200,0,0,16,0,0,5,126,2,23,0,2,3,0,13,0,0,0,4,6,103Y12M,PingLin
968,5,1,106,0,4,175,383,30,128,6,7,12,22,16,0,0,0,18,55,103Y12M,SanZhi
236,9,0,12,1,3,46,78,13,46,0,2,7,3,3,0,0,0,5,8,103Y12M,ShiMen
1772,6,3,310,0,19,233,751,70,116,15,17,49,42,46,1,1,0,32,61,103Y12M,BaLi
188,1,1,4,0,2,16,104,3,42,1,2,1,1,1,0,0,0,5,4,103Y12M,PingXi
248,0,0,33,0,2,28,130,2,32,0,1,1,2,5,0,0,0,5,7,103Y12M,ShuangXi
353,2,0,10,1,1,63,147,17,58,3,3,1,3,26,0,0,0,7,11,103Y12M,GongLiao
926,69,2,47,0,4,187,372,25,114,2,5,6,7,13,0,1,0,17,55,103Y12M,JinShan
747,101,2,28,1,1,92,291,30,117,4,6,3,14,17,0,0,0,17,23,103Y12M,WanLi
212,0,0,2,0,0,8,81,4,88,0,2,0,1,0,0,0,1,9,16,103Y12M,WuLai
