H_CNT,P_CNT,M_CNT,F_CNT,INFO_TIME,DISTRICT
198015,555335,273845,281490,100Y12M,BanQiao
142515,390421,194126,196295,100Y12M,SanChong
157474,414939,204486,210453,100Y12M,ZhongHe
89972,232386,111416,120970,100Y12M,YongHe
139207,404089,199224,204865,100Y12M,XinZhuang
117904,296581,144760,151821,100Y12M,XinDian
62139,179788,90415,89373,100Y12M,ShuLin
27986,87683,44242,43441,100Y12M,YingGe
36823,105629,53696,51933,100Y12M,SanXia
59866,146756,71192,75564,100Y12M,TamSui
80361,190679,94436,96243,100Y12M,XiZhi
15930,42031,21399,20632,100Y12M,RuiFang
83316,239156,119365,119791,100Y12M,TuCheng
66457,198373,98077,100296,100Y12M,LuZhou
27777,80518,40739,39779,100Y12M,WuGu
26554,77057,38644,38413,100Y12M,TaiShan
32503,86628,42729,43899,100Y12M,LinKou
9085,23531,11848,11683,100Y12M,ShenKeng
3340,7887,4386,3501,100Y12M,ShiDing
2457,6533,3632,2901,100Y12M,PingLin
8946,23319,12040,11279,100Y12M,SanZhi
4161,12841,6721,6120,100Y12M,ShiMen
12671,35423,17888,17535,100Y12M,BaLi
2392,5197,2900,2297,100Y12M,PingXi
3806,9555,5173,4382,100Y12M,ShuangXi
4438,13538,6987,6551,100Y12M,GongLiao
6808,22447,11218,11229,100Y12M,JinShan
7140,22204,11269,10935,100Y12M,WanLi
1748,5927,2991,2936,100Y12M,WuLai
