M_F_RAT,P_H_CNT,P_DEN,DEPENDENCY_RAT,A0A14_A15A65_RAT,A65UP_A15A64_RAT,A65_A0A14_RAT,INFO_TIME,DISTRICT
97.28,2.8,24001.72,30.24,19.31,10.93,56.59,100Y12M,BanQiao
98.9,2.74,23927.25,29.04,17.62,11.42,64.79,100Y12M,SanChong
97.16,2.63,20598.64,27.58,15.61,11.97,76.65,100Y12M,ZhongHe
92.1,2.58,40671.01,34.01,19.19,14.82,77.25,100Y12M,YongHe
97.25,2.9,20472.33,28.67,20.84,7.84,37.6,100Y12M,XinZhuang
95.35,2.52,2466.87,29.82,15.58,14.25,91.49,100Y12M,XinDian
101.17,2.89,5426.94,29.99,21.17,8.82,41.66,100Y12M,ShuLin
101.84,3.13,4150.71,31.93,22.07,9.86,44.71,100Y12M,YingGe
103.39,2.87,551.73,35.09,23.43,11.65,49.74,100Y12M,SanXia
94.21,2.45,2077.03,29.66,17.8,11.86,66.6,100Y12M,TamSui
98.12,2.37,2676.74,26.69,16.04,10.65,66.38,100Y12M,XiZhi
103.72,2.64,594.22,36.52,16.03,20.49,127.87,100Y12M,RuiFang
99.64,2.87,8091.13,26.04,18.35,7.69,41.91,100Y12M,TuCheng
97.79,2.98,26680.61,28.71,21.12,7.6,35.98,100Y12M,LuZhou
102.41,2.9,2309.54,30.62,20.55,10.07,49.01,100Y12M,WuGu
100.6,2.9,4021.7,30.36,22.13,8.23,37.21,100Y12M,TaiShan
97.33,2.67,1599.72,35.62,26.46,9.15,34.58,100Y12M,LinKou
101.41,2.59,1143.46,28.08,17.03,11.05,64.88,100Y12M,ShenKeng
125.28,2.36,54.64,42.34,16.55,25.79,155.83,100Y12M,ShiDing
125.2,2.66,38.24,45.02,14.34,30.68,213.93,100Y12M,PingLin
106.75,2.61,353.37,34.51,18.16,16.35,90.0,100Y12M,SanZhi
109.82,3.09,250.49,37.79,20.08,17.72,88.24,100Y12M,ShiMen
102.01,2.8,896.94,29.69,18.74,10.95,58.43,100Y12M,BaLi
126.25,2.17,72.85,50.07,11.12,38.95,350.39,100Y12M,PingXi
118.05,2.51,65.33,46.98,13.67,33.3,243.53,100Y12M,ShuangXi
106.66,3.05,135.42,41.39,15.06,26.33,174.83,100Y12M,GongLiao
99.9,3.3,456.12,35.53,18.95,16.59,87.54,100Y12M,JinShan
103.05,3.11,350.35,37.64,18.58,19.06,102.54,100Y12M,WanLi
101.87,3.39,18.46,33.94,21.69,12.25,56.46,100Y12M,WuLai
