H_CNT,P_CNT,M_CNT,F_CNT,INFO_TIME,DISTRICT
14017,37678,18814,18864,104Y12M,BanQiao
9371,23487,12098,11389,104Y12M,SanChong
148489,388447,191757,196690,104Y12M,ZhongHe
41141,112708,56701,56007,104Y12M,YongHe
85968,238703,118153,120550,104Y12M,XinZhuang
163065,414304,202275,212029,104Y12M,XinDian
29946,82923,41842,41081,104Y12M,ShuLin
2352,4874,2691,2183,104Y12M,YingGe
90705,225409,107181,118228,104Y12M,SanXia
4311,12641,6550,6091,104Y12M,TamSui
3372,7855,4336,3519,104Y12M,XiZhi
85024,196028,95902,100126,104Y12M,RuiFang
2495,6490,3618,2872,104Y12M,TuCheng
39143,100350,49125,51225,104Y12M,LuZhou
205731,554236,271178,283058,104Y12M,WuGu
7024,22260,11024,11236,104Y12M,TaiShan
27996,78707,39152,39555,104Y12M,LinKou
1831,6187,3072,3115,104Y12M,ShenKeng
4402,12860,6560,6300,104Y12M,ShiDing
70294,162221,78033,84188,104Y12M,PingLin
9458,23594,11811,11783,104Y12M,SanZhi
123873,300267,145134,155133,104Y12M,ShiMen
149116,413243,202452,210791,104Y12M,BaLi
16142,40976,20708,20268,104Y12M,PingXi
7416,22642,11412,11230,104Y12M,ShuangXi
65432,184249,92082,92167,104Y12M,GongLiao
3840,9245,4995,4250,104Y12M,JinShan
69521,200095,98555,101540,104Y12M,WanLi
29425,87965,44144,43821,104Y12M,WuLai
