H_CNT,P_CNT,M_CNT,F_CNT,INFO_TIME,DISTRICT
204162,556241,272740,283501,103Y06M,BanQiao
146554,389235,192655,196580,103Y06M,SanChong
161569,414807,202992,211815,103Y06M,ZhongHe
90750,228430,108918,119512,103Y06M,YongHe
145772,410399,201469,208930,103Y06M,XinZhuang
121855,298731,144801,153930,103Y06M,XinDian
64724,183781,92020,91761,103Y06M,ShuLin
29067,88777,44499,44278,103Y06M,YingGe
39839,110620,55881,54739,103Y06M,SanXia
66849,157051,75743,81308,103Y06M,TamSui
83604,194290,95492,98798,103Y06M,XiZhi
16034,41408,20931,20477,103Y06M,RuiFang
85210,238934,118490,120444,103Y06M,TuCheng
68521,199257,98138,101119,103Y06M,LuZhou
28986,81889,41374,40515,103Y06M,WuGu
27426,78155,38946,39209,103Y06M,TaiShan
36889,95650,46891,48759,103Y06M,LinKou
9283,23551,11814,11737,103Y06M,ShenKeng
3383,7891,4344,3547,103Y06M,ShiDing
2469,6412,3590,2822,103Y06M,PingLin
9234,23490,12090,11400,103Y06M,SanZhi
4261,12648,6588,6060,103Y06M,ShiMen
13517,36519,18344,18175,103Y06M,BaLi
2368,4981,2751,2230,103Y06M,PingXi
3850,9425,5064,4361,103Y06M,ShuangXi
4451,13228,6779,6449,103Y06M,GongLiao
6989,22355,11096,11259,103Y06M,JinShan
7327,22495,11373,11122,103Y06M,WanLi
1773,6078,3020,3058,103Y06M,WuLai
