M_F_RAT,P_H_CNT,P_DEN,DEPENDENCY_RAT,A0A14_A15A65_RAT,A65UP_A15A64_RAT,A65_A0A14_RAT,INFO_TIME,DISTRICT
96.87,2.76,24092.7,30.66,19.03,11.63,61.09,101Y12M,BanQiao
98.52,2.7,23906.97,29.14,17.13,12.01,70.13,101Y12M,SanChong
96.56,2.61,20676.08,28.13,15.38,12.74,82.83,101Y12M,ZhongHe
91.7,2.55,40387.83,34.22,18.48,15.74,85.21,101Y12M,YongHe
96.95,2.87,20620.42,28.69,20.29,8.4,41.4,101Y12M,XinZhuang
94.82,2.49,2475.66,30.08,14.99,15.08,100.59,101Y12M,XinDian
100.62,2.86,5494.07,29.83,20.62,9.21,44.66,101Y12M,ShuLin
101.42,3.09,4181.63,31.55,21.39,10.16,47.5,101Y12M,YingGe
102.88,2.8,563.04,34.54,22.69,11.85,52.25,101Y12M,SanXia
93.8,2.41,2132.67,29.63,17.18,12.45,72.48,101Y12M,TamSui
97.52,2.35,2704.78,26.46,15.32,11.14,72.72,101Y12M,XiZhi
103.0,2.61,588.36,35.83,15.32,20.51,133.92,101Y12M,RuiFang
99.11,2.84,8110.11,25.75,17.69,8.06,45.58,101Y12M,TuCheng
97.44,2.96,26830.84,28.07,20.09,7.98,39.7,101Y12M,LuZhou
102.35,2.87,2329.82,30.04,19.66,10.39,52.83,101Y12M,WuGu
99.87,2.88,4050.93,30.73,21.86,8.87,40.6,101Y12M,TaiShan
96.94,2.64,1659.89,35.46,25.9,9.56,36.9,101Y12M,LinKou
101.32,2.56,1145.31,27.63,16.07,11.56,71.93,101Y12M,ShenKeng
123.34,2.36,54.69,41.69,16.39,25.31,154.44,101Y12M,ShiDing
125.65,2.62,37.95,44.36,13.38,30.97,231.45,101Y12M,PingLin
106.21,2.58,355.5,34.02,17.15,16.87,98.37,101Y12M,SanZhi
109.7,3.02,249.65,36.7,19.01,17.69,93.03,101Y12M,ShiMen
101.47,2.76,904.48,29.05,17.89,11.15,62.33,101Y12M,BaLi
125.26,2.14,71.62,50.53,11.34,39.19,345.45,101Y12M,PingXi
116.94,2.47,64.72,46.16,13.23,32.92,248.77,101Y12M,ShuangXi
106.08,3.01,134.16,40.66,14.31,26.36,184.24,101Y12M,GongLiao
99.29,3.25,456.91,34.57,17.84,16.73,93.79,101Y12M,JinShan
103.12,3.09,353.9,36.39,17.43,18.95,108.72,101Y12M,WanLi
100.57,3.4,18.61,34.12,21.5,12.62,58.66,101Y12M,WuLai
