M_F_RAT,P_H_CNT,P_DEN,DEPENDENCY_RAT,A0A14_A15A65_RAT,A65UP_A15A64_RAT,A65_A0A14_RAT,INFO_TIME,DISTRICT
97.63,2.83,23961.74,30.18,19.58,10.6,54.16,100Y06M,BanQiao
99.18,2.76,23885.15,29.08,17.94,11.15,62.14,100Y06M,SanChong
97.38,2.65,20553.27,27.49,15.83,11.66,73.65,100Y06M,ZhongHe
92.09,2.6,40891.0,34.11,19.66,14.45,73.5,100Y06M,YongHe
97.48,2.92,20415.84,28.81,21.24,7.57,35.66,100Y06M,XinZhuang
95.57,2.53,2462.92,29.91,15.95,13.96,87.56,100Y06M,XinDian
101.48,2.92,5374.24,30.35,21.68,8.66,39.95,100Y06M,ShuLin
102.15,3.14,4130.69,32.21,22.49,9.72,43.24,100Y06M,YingGe
103.55,2.89,546.51,35.86,24.21,11.66,48.15,100Y06M,SanXia
94.54,2.47,2053.54,30.01,18.42,11.59,62.91,100Y06M,TamSui
98.46,2.38,2663.96,26.9,16.42,10.48,63.83,100Y06M,XiZhi
104.16,2.66,596.72,36.91,16.37,20.53,125.4,100Y06M,RuiFang
99.98,2.89,8075.63,26.39,18.84,7.55,40.05,100Y06M,TuCheng
98.01,3.0,26607.31,29.08,21.64,7.45,34.41,100Y06M,LuZhou
102.71,2.91,2294.14,31.3,21.34,9.97,46.72,100Y06M,WuGu
100.84,2.92,4007.35,30.47,22.48,8.0,35.58,100Y06M,TaiShan
97.58,2.68,1569.73,35.97,26.97,9.0,33.36,100Y06M,LinKou
101.75,2.62,1138.9,28.59,17.67,10.92,61.78,100Y06M,ShenKeng
126.48,2.37,54.51,42.74,16.67,26.07,156.37,100Y06M,ShiDing
125.59,2.66,38.29,45.09,14.88,30.21,202.98,100Y06M,PingLin
106.89,2.61,354.02,35.02,18.81,16.21,86.2,100Y06M,SanZhi
110.21,3.08,248.24,38.27,20.38,17.88,87.74,100Y06M,ShiMen
102.46,2.82,888.28,30.07,19.19,10.87,56.65,100Y06M,BaLi
127.41,2.18,73.51,50.09,11.25,38.84,345.29,100Y06M,PingXi
118.96,2.52,65.85,47.05,13.85,33.2,239.69,100Y06M,ShuangXi
106.21,3.08,135.93,41.68,15.38,26.31,171.05,100Y06M,GongLiao
100.37,3.31,453.48,36.05,19.39,16.65,85.88,100Y06M,JinShan
102.59,3.11,346.55,38.1,18.84,19.25,102.17,100Y06M,WanLi
101.67,3.41,18.05,33.59,21.29,12.3,57.79,100Y06M,WuLai
