H_CNT,P_CNT,M_CNT,F_CNT,INFO_TIME,DISTRICT
201973,557440,274286,283154,101Y12M,BanQiao
144286,390090,193586,196504,101Y12M,SanChong
159724,416499,204605,211894,101Y12M,ZhongHe
90478,230768,110388,120380,101Y12M,YongHe
142061,407012,200359,206653,101Y12M,XinZhuang
119383,297637,144858,152779,101Y12M,XinDian
63613,182012,91286,90726,101Y12M,ShuLin
28560,88336,44480,43856,101Y12M,YingGe
38502,107794,54662,53132,101Y12M,SanXia
62655,150687,72932,77755,101Y12M,TamSui
81979,192676,95129,97547,101Y12M,XiZhi
15967,41617,21116,20501,101Y12M,RuiFang
84453,239717,119321,120396,101Y12M,TuCheng
67478,199490,98452,101038,101Y12M,LuZhou
28290,81225,41085,40140,101Y12M,WuGu
26968,77617,38784,38833,101Y12M,TaiShan
34026,89886,44244,45642,101Y12M,LinKou
9198,23569,11862,11707,101Y12M,ShenKeng
3350,7895,4360,3535,101Y12M,ShiDing
2476,6483,3610,2873,101Y12M,PingLin
9078,23460,12083,11377,101Y12M,SanZhi
4236,12798,6695,6103,101Y12M,ShiMen
12948,35721,17991,17730,101Y12M,BaLi
2388,5109,2841,2268,101Y12M,PingXi
3834,9465,5102,4363,101Y12M,ShuangXi
4461,13412,6904,6508,101Y12M,GongLiao
6910,22486,11203,11283,101Y12M,JinShan
7259,22429,11387,11042,101Y12M,WanLi
1758,5975,2996,2979,101Y12M,WuLai
