C_CNT,C1_A_CNT,C1_B_CNT,C1_C_CNT,C1_D_CNT,C1_E_CNT,C1_F_CNT,C1_G_CNT,C1_H_CNT,C1_I_CNT,C1_J_CNT,C1_K_CNT,C1_L_CNT,C1_M_CNT,C1_N_CNT,C1_O_CNT,C1_P_CNT,C1_Q_CNT,C1_R_CNT,C1_S_CNT,INFO_TIME,DISTRICT
29043,40,11,2482,6,128,3322,13466,2012,2087,516,654,730,1141,559,0,53,14,416,1406,105Y12M,BanQiao
25774,26,3,4488,7,95,2023,13044,382,1634,348,451,568,799,426,0,29,5,384,1062,105Y12M,SanChong
23745,55,5,3494,4,69,2507,11454,469,1540,491,493,443,949,459,0,27,4,337,945,105Y12M,ZhongHe
10219,25,1,462,2,28,950,5205,147,941,219,300,310,546,221,0,25,1,201,635,105Y12M,YongHe
24136,20,6,5755,11,102,2260,10249,448,1645,238,423,592,601,432,0,36,8,358,952,105Y12M,XinZhuang
14711,35,5,1171,2,48,1497,7042,271,1341,442,396,401,688,308,0,35,6,309,714,105Y12M,XinDian
11781,14,7,4186,5,69,867,4457,390,522,91,134,193,228,143,0,6,2,146,321,105Y12M,ShuLin
4617,8,8,887,2,23,530,2365,103,201,34,46,76,78,61,0,3,1,48,143,105Y12M,YingGe
4827,19,7,452,2,25,505,2458,172,464,42,61,94,114,89,1,8,2,77,235,105Y12M,SanXia
8265,254,1,595,4,24,802,3643,201,1089,128,111,246,322,191,0,18,1,199,436,105Y12M,TamSui
12379,26,9,1537,6,41,1369,5960,349,860,277,256,253,525,234,0,19,8,174,476,105Y12M,XiZhi
1974,6,6,114,3,6,300,973,64,288,9,18,11,22,43,0,1,2,34,74,105Y12M,RuiFang
11651,22,8,1894,4,49,1558,5107,696,691,131,175,181,313,221,0,7,1,177,416,105Y12M,TuCheng
9833,8,5,1647,1,50,1123,4682,153,694,86,145,252,244,155,0,10,1,156,421,105Y12M,LuZhou
5872,15,3,1827,1,32,508,2325,113,202,44,135,228,127,75,0,2,3,60,172,105Y12M,WuGu
4109,6,3,793,0,28,426,1905,88,299,23,51,71,98,68,0,2,2,86,160,105Y12M,TaiShan
4989,8,6,499,13,33,469,2388,127,439,64,132,254,181,89,0,4,3,82,198,105Y12M,LinKou
1334,4,0,117,3,3,158,656,37,142,30,20,16,48,23,0,0,1,30,46,105Y12M,ShenKeng
175,0,0,24,0,1,19,83,0,37,2,3,0,2,0,0,0,0,3,1,105Y12M,ShiDing
207,0,0,17,0,0,7,131,3,25,0,2,2,1,10,0,0,0,3,6,105Y12M,PingLin
1061,7,1,107,0,5,194,411,32,149,6,7,13,33,14,0,1,0,22,59,105Y12M,SanZhi
227,6,0,7,1,3,44,78,12,44,0,2,7,4,5,0,0,0,5,9,105Y12M,ShiMen
1927,5,3,325,1,22,253,814,77,127,14,23,52,43,58,1,2,0,37,70,105Y12M,BaLi
202,0,1,5,0,2,15,110,4,48,2,2,2,2,1,0,0,0,4,4,105Y12M,PingXi
246,0,0,30,0,1,32,129,2,35,0,1,1,2,3,0,0,0,4,6,105Y12M,ShuangXi
347,3,0,13,1,2,55,136,17,59,4,4,2,4,28,0,0,0,8,11,105Y12M,GongLiao
983,68,1,46,0,6,196,385,23,142,4,5,8,7,12,0,2,0,21,57,105Y12M,JinShan
772,91,2,27,1,3,106,301,25,131,4,6,4,13,19,0,0,0,16,23,105Y12M,WanLi
209,1,0,3,1,0,9,79,2,87,0,2,1,0,0,0,0,1,8,15,105Y12M,WuLai
