H_CNT,P_CNT,M_CNT,F_CNT,INFO_TIME,DISTRICT
14140,37835,18855,18980,105Y06M,BanQiao
9366,23369,12029,11340,105Y06M,SanChong
148911,388014,191361,196653,105Y06M,ZhongHe
41471,113442,57005,56437,105Y06M,YongHe
86033,238389,117885,120504,105Y06M,XinZhuang
163164,413709,201774,211935,105Y06M,XinDian
30278,83380,42074,41306,105Y06M,ShuLin
2339,4803,2661,2142,105Y06M,YingGe
90659,225060,107020,118040,105Y06M,SanXia
4303,12560,6507,6053,105Y06M,TamSui
3369,7770,4284,3486,105Y06M,XiZhi
85202,196408,95962,100446,105Y06M,RuiFang
2499,6515,3618,2897,105Y06M,TuCheng
39736,101731,49733,51998,105Y06M,LuZhou
205839,553430,270635,282795,105Y06M,WuGu
7050,22225,10990,11235,105Y06M,TaiShan
28110,78912,39229,39683,105Y06M,LinKou
1845,6167,3071,3096,105Y06M,ShenKeng
4400,12791,6529,6262,105Y06M,ShiDing
71060,163704,78771,84933,105Y06M,PingLin
9493,23624,11806,11818,105Y06M,SanZhi
124133,300074,144817,155257,105Y06M,ShiMen
149753,413805,202457,211348,105Y06M,BaLi
16149,40742,20601,20141,105Y06M,PingXi
7432,22561,11369,11192,105Y06M,ShuangXi
65579,184284,91994,92290,105Y06M,GongLiao
3821,9158,4948,4210,105Y06M,JinShan
69722,200150,98547,101603,105Y06M,WanLi
29462,87592,43938,43654,105Y06M,WuLai
