C_CNT,C1_A_CNT,C1_B_CNT,C1_C_CNT,C1_D_CNT,C1_E_CNT,C1_F_CNT,C1_G_CNT,C1_H_CNT,C1_I_CNT,C1_J_CNT,C1_K_CNT,C1_L_CNT,C1_M_CNT,C1_N_CNT,C1_O_CNT,C1_P_CNT,C1_Q_CNT,C1_R_CNT,C1_S_CNT,INFO_TIME,DISTRICT
27742,26,11,2277,9,118,2926,13738,2295,1712,452,499,632,983,518,0,26,9,330,1181,100Y12M,BanQiao
24627,11,1,4514,5,101,1696,13281,337,1415,302,338,425,682,317,0,18,4,279,901,100Y12M,SanChong
21755,23,7,3290,0,69,2280,10780,444,1303,433,348,371,811,494,0,6,3,264,829,100Y12M,ZhongHe
9338,19,0,429,2,24,890,5038,127,696,193,196,284,478,246,0,16,2,168,530,100Y12M,YongHe
21894,10,7,5714,3,117,1844,9835,357,1039,174,319,468,505,417,0,20,2,294,769,100Y12M,XinZhuang
12929,17,6,1051,3,59,1171,6722,255,1082,347,297,265,535,275,0,12,8,227,597,100Y12M,XinDian
10708,6,2,3649,6,66,689,4568,371,389,66,82,136,183,110,1,7,2,89,286,100Y12M,ShuLin
4075,5,5,792,5,19,379,2246,89,141,24,36,34,66,57,0,2,1,34,140,100Y12M,YingGe
3950,16,3,390,2,29,377,2110,152,323,33,40,75,89,66,0,4,2,48,191,100Y12M,SanXia
7178,426,1,502,2,18,587,3205,230,928,90,72,194,211,158,0,11,2,152,389,100Y12M,TamSui
10314,11,3,1449,3,46,1025,5189,293,646,194,141,214,355,227,0,4,6,131,377,100Y12M,XiZhi
1854,6,4,114,2,8,242,984,48,261,8,7,11,18,40,0,0,3,33,65,100Y12M,RuiFang
10411,15,2,1814,2,46,1167,4782,747,578,88,115,142,246,170,0,3,1,127,366,100Y12M,TuCheng
8876,4,3,1376,1,46,880,4625,129,598,79,107,214,204,127,0,7,0,105,371,100Y12M,LuZhou
5104,4,2,1685,2,37,364,2205,79,138,36,81,149,81,59,0,1,2,53,126,100Y12M,WuGu
3602,3,2,736,2,23,325,1829,86,169,23,39,50,67,62,0,1,0,51,134,100Y12M,TaiShan
3559,3,2,379,12,20,376,1844,84,211,39,65,190,110,61,0,0,0,50,113,100Y12M,LinKou
1097,0,0,106,0,6,108,577,32,95,24,18,15,42,23,0,0,0,19,32,100Y12M,ShenKeng
156,1,0,24,0,1,10,77,2,30,2,1,0,1,2,0,0,0,2,3,100Y12M,ShiDing
200,0,0,24,0,0,3,123,2,23,0,1,2,0,13,0,0,0,2,7,100Y12M,PingLin
946,7,0,84,0,5,149,403,36,132,1,2,12,27,15,0,1,0,17,55,100Y12M,SanZhi
247,16,0,11,1,1,45,84,17,42,1,1,2,3,3,0,0,0,6,14,100Y12M,ShiMen
1502,2,1,200,0,16,176,746,65,111,7,10,26,32,32,1,0,0,26,51,100Y12M,BaLi
162,2,1,4,0,1,12,97,4,29,2,0,0,1,0,0,0,0,6,3,100Y12M,PingXi
240,0,0,38,0,3,24,124,4,21,0,0,1,2,7,0,0,0,7,9,100Y12M,ShuangXi
362,2,0,14,2,3,67,146,24,63,2,0,1,5,18,0,0,0,6,9,100Y12M,GongLiao
948,71,3,45,0,8,169,393,29,120,2,1,6,11,23,0,0,0,13,54,100Y12M,JinShan
924,296,3,25,1,2,67,302,36,114,5,2,3,15,16,0,0,0,14,23,100Y12M,WanLi
203,0,0,2,0,0,11,80,3,80,0,1,0,2,1,0,0,0,9,14,100Y12M,WuLai
