C_CNT,C1_A_CNT,C1_B_CNT,C1_C_CNT,C1_D_CNT,C1_E_CNT,C1_F_CNT,C1_G_CNT,C1_H_CNT,C1_I_CNT,C1_J_CNT,C1_K_CNT,C1_L_CNT,C1_M_CNT,C1_N_CNT,C1_O_CNT,C1_P_CNT,C1_Q_CNT,C1_R_CNT,C1_S_CNT,INFO_TIME,DISTRICT
27999,34,8,2253,9,118,3004,13806,2257,1716,469,513,685,1031,519,0,30,9,323,1215,101Y12M,BanQiao
24750,16,2,4535,5,99,1785,13084,342,1451,303,339,437,703,382,0,19,4,307,937,101Y12M,SanChong
22034,25,8,3449,0,74,2296,10723,451,1304,436,361,397,841,523,0,8,1,263,874,101Y12M,ZhongHe
9468,22,0,440,3,27,908,5047,135,718,205,213,289,491,235,0,17,1,166,551,101Y12M,YongHe
22291,13,8,5660,5,124,1901,9958,405,1130,183,345,487,539,436,0,19,2,273,803,101Y12M,XinZhuang
13255,23,4,1151,3,55,1291,6632,269,1119,364,285,327,557,304,0,20,7,227,617,101Y12M,XinDian
11063,7,4,3650,6,73,722,4816,380,380,79,84,158,181,114,1,7,2,97,302,101Y12M,ShuLin
4185,4,5,800,5,20,389,2319,88,133,35,35,42,73,63,0,2,1,35,136,101Y12M,YingGe
4138,19,5,398,2,29,399,2194,160,343,36,42,88,94,76,0,4,2,48,199,101Y12M,SanXia
7232,313,2,570,2,18,629,3216,231,898,92,73,220,239,175,0,10,3,155,386,101Y12M,TamSui
10612,10,7,1494,3,44,1088,5258,310,647,209,157,223,390,238,0,10,6,144,374,101Y12M,XiZhi
1870,6,4,121,2,10,252,973,48,271,10,8,7,18,39,0,0,3,32,66,101Y12M,RuiFang
10652,12,3,1815,4,53,1265,4861,734,593,94,120,152,250,176,0,3,3,127,387,101Y12M,TuCheng
9006,4,2,1408,1,48,916,4628,135,608,74,113,233,199,134,0,8,0,112,383,101Y12M,LuZhou
5250,11,2,1719,2,39,381,2230,87,140,33,91,166,90,61,0,1,3,56,138,101Y12M,WuGu
3746,3,3,739,1,25,341,1852,104,223,26,43,56,71,61,0,3,0,55,140,101Y12M,TaiShan
3795,6,2,417,12,22,383,1899,91,250,51,76,216,118,66,0,0,2,54,130,101Y12M,LinKou
1160,0,0,112,0,4,123,597,36,113,20,18,18,43,22,0,0,0,19,35,101Y12M,ShenKeng
151,1,0,21,0,1,10,80,2,28,2,1,0,2,1,0,0,0,1,1,101Y12M,ShiDing
199,0,0,23,0,0,5,125,2,20,0,1,2,0,14,0,0,0,1,6,101Y12M,PingLin
958,5,0,83,0,4,160,405,34,132,5,4,12,28,13,0,1,0,17,55,101Y12M,SanZhi
239,11,0,11,1,2,48,77,16,40,0,1,7,3,6,0,0,0,4,12,101Y12M,ShiMen
1578,4,2,260,0,17,194,722,69,109,9,12,32,32,29,1,0,0,27,59,101Y12M,BaLi
171,2,1,4,0,1,10,104,3,34,2,0,0,1,0,0,0,0,6,3,101Y12M,PingXi
242,0,0,36,0,2,24,128,4,25,0,0,1,2,6,0,0,0,6,8,101Y12M,ShuangXi
366,4,0,12,1,2,64,153,19,61,2,1,1,6,21,0,0,0,9,10,101Y12M,GongLiao
932,70,2,48,0,6,189,366,26,114,2,1,7,10,16,0,0,0,15,60,101Y12M,JinShan
921,288,2,26,2,2,81,299,34,110,7,3,4,12,15,0,0,0,16,20,101Y12M,WanLi
194,0,0,1,0,0,7,77,4,78,0,1,0,2,0,0,0,0,8,16,101Y12M,WuLai
