H_CNT,P_CNT,M_CNT,F_CNT,INFO_TIME,DISTRICT
203555,556920,273387,283533,102Y12M,BanQiao
145732,389813,193129,196684,102Y12M,SanChong
160988,415742,203704,212038,102Y12M,ZhongHe
90630,229062,109292,119770,102Y12M,YongHe
144609,409760,201476,208284,102Y12M,XinZhuang
121059,299017,145092,153925,102Y12M,XinDian
64323,183407,91859,91548,102Y12M,ShuLin
28881,88637,44506,44131,102Y12M,YingGe
39459,110010,55635,54375,102Y12M,SanXia
65495,155241,74943,80298,102Y12M,TamSui
83244,194200,95471,98729,102Y12M,XiZhi
16025,41490,21000,20490,102Y12M,RuiFang
85009,239258,118787,120471,102Y12M,TuCheng
68130,199426,98338,101088,102Y12M,LuZhou
28737,81744,41292,40452,102Y12M,WuGu
27275,77939,38879,39060,102Y12M,TaiShan
36121,94108,46239,47869,102Y12M,LinKou
9265,23622,11865,11757,102Y12M,ShenKeng
3363,7848,4328,3520,102Y12M,ShiDing
2478,6460,3621,2839,102Y12M,PingLin
9197,23464,12093,11371,102Y12M,SanZhi
4264,12794,6658,6136,102Y12M,ShiMen
13289,36201,18218,17983,102Y12M,BaLi
2380,5002,2776,2226,102Y12M,PingXi
3860,9412,5065,4347,102Y12M,ShuangXi
4456,13306,6820,6486,102Y12M,GongLiao
6934,22392,11132,11260,102Y12M,JinShan
7317,22618,11456,11162,102Y12M,WanLi
1782,6036,2999,3037,102Y12M,WuLai
