RLH_CNT,RLH_H_RAC,RLP_CNT,RLP_P_RAC,INFO_TIME,DISTRICT
2498,12.62,6440,11.6,100Y12M,BanQiao
2228,15.63,5746,14.72,100Y12M,SanChong
1637,10.4,3839,9.25,100Y12M,ZhongHe
923,10.26,2230,9.6,100Y12M,YongHe
1680,12.07,4891,12.1,100Y12M,XinZhuang
1366,11.59,3112,10.49,100Y12M,XinDian
801,12.89,2226,12.38,100Y12M,ShuLin
594,21.22,1807,20.61,100Y12M,YingGe
709,19.25,2099,19.87,100Y12M,SanXia
477,7.97,1067,7.27,100Y12M,TamSui
822,10.23,2112,11.08,100Y12M,XiZhi
478,30.01,960,22.84,100Y12M,RuiFang
1401,16.82,3843,16.07,100Y12M,TuCheng
1156,17.39,3220,16.23,100Y12M,LuZhou
247,8.89,686,8.52,100Y12M,WuGu
153,5.76,384,4.98,100Y12M,TaiShan
290,8.92,856,9.88,100Y12M,LinKou
92,10.13,214,9.09,100Y12M,ShenKeng
57,17.07,122,15.47,100Y12M,ShiDing
34,13.84,82,12.55,100Y12M,PingLin
111,12.41,278,11.92,100Y12M,SanZhi
51,12.26,121,9.42,100Y12M,ShiMen
227,17.91,596,16.83,100Y12M,BaLi
121,50.59,299,57.53,100Y12M,PingXi
133,34.94,284,29.72,100Y12M,ShuangXi
202,45.52,483,35.68,100Y12M,GongLiao
128,18.8,262,11.67,100Y12M,JinShan
485,67.93,767,34.54,100Y12M,WanLi
112,64.07,363,61.25,100Y12M,WuLai
