M_F_RAT,P_H_CNT,P_DEN,DEPENDENCY_RAT,A0A14_A15A65_RAT,A65UP_A15A64_RAT,A65_A0A14_RAT,INFO_TIME,DISTRICT
99.34,2.68,958.01,28.95,15.91,13.04,81.96,105Y06M,BanQiao
106.08,2.5,354.12,33.9,13.95,19.94,142.96,105Y06M,SanChong
97.31,2.61,23779.74,31.15,15.92,15.22,95.62,105Y06M,ZhongHe
101.01,2.74,592.54,34.19,20.79,13.4,64.44,105Y06M,YongHe
97.83,2.77,8065.18,26.73,16.08,10.65,66.24,105Y06M,XinZhuang
95.21,2.54,20537.58,31.6,14.87,16.73,112.51,105Y06M,XinDian
101.86,2.75,2391.63,29.19,17.06,12.13,71.09,105Y06M,ShuLin
124.23,2.05,67.33,51.42,9.71,41.71,429.55,105Y06M,YingGe
90.66,2.48,39388.85,37.71,17.37,20.34,117.07,105Y06M,SanXia
107.5,2.92,245.0,35.87,16.05,19.82,123.45,105Y06M,TamSui
122.89,2.31,53.83,40.03,13.07,26.96,206.34,105Y06M,XiZhi
95.54,2.31,2757.17,27.81,13.85,13.95,100.72,105Y06M,RuiFang
124.89,2.61,38.14,44.68,12.04,32.64,271.22,105Y06M,TuCheng
95.64,2.56,1878.62,36.5,24.52,11.98,48.85,105Y06M,LuZhou
95.7,2.69,23919.39,33.73,18.35,15.38,83.79,105Y06M,WuGu
97.82,3.15,451.61,33.73,15.21,18.52,121.76,105Y06M,TaiShan
98.86,2.81,4118.52,32.43,20.62,11.81,57.28,105Y06M,LinKou
99.19,3.34,19.2,36.11,20.46,15.65,76.48,105Y06M,ShenKeng
104.26,2.91,127.94,38.99,10.93,28.06,256.66,105Y06M,ShiDing
92.74,2.3,2316.9,31.8,16.18,15.62,96.51,105Y06M,PingLin
99.9,2.49,1147.98,27.98,13.46,14.52,107.85,105Y06M,SanZhi
93.28,2.42,2495.93,32.69,13.61,19.08,140.21,105Y06M,ShiMen
95.79,2.76,20964.57,30.41,18.94,11.47,60.56,105Y06M,BaLi
102.28,2.52,575.99,35.08,13.47,21.61,160.49,105Y06M,PingXi
101.58,3.04,355.98,36.57,15.21,21.36,140.39,105Y06M,ShuangXi
99.68,2.81,5562.65,30.93,19.06,11.87,62.27,105Y06M,GongLiao
117.53,2.4,62.62,47.33,12.36,34.97,283.07,105Y06M,JinShan
96.99,2.87,26919.61,28.04,17.79,10.25,57.59,105Y06M,WanLi
100.65,2.97,4146.41,31.59,19.0,12.6,66.32,105Y06M,WuLai
