H_CNT,P_CNT,M_CNT,F_CNT,INFO_TIME,DISTRICT
195792,554410,273881,280529,100Y06M,BanQiao
141308,389734,194062,195672,100Y06M,SanChong
156185,414025,204260,209765,100Y06M,ZhongHe
89858,233643,112013,121630,100Y06M,YongHe
138089,402974,198913,204061,100Y06M,XinZhuang
117110,296106,144703,151403,100Y06M,XinDian
61051,178042,89675,88367,100Y06M,ShuLin
27772,87260,44093,43167,100Y06M,YingGe
36222,104629,53228,51401,100Y06M,SanXia
58655,145096,70512,74584,100Y06M,TamSui
79657,189768,94149,95619,100Y06M,XiZhi
15894,42208,21534,20674,100Y06M,RuiFang
82603,238698,119338,119360,100Y06M,TuCheng
65937,197828,97922,99906,100Y06M,LuZhou
27496,79981,40526,39455,100Y06M,WuGu
26337,76782,38551,38231,100Y06M,TaiShan
31675,85004,41982,43022,100Y06M,LinKou
8960,23437,11820,11617,100Y06M,ShenKeng
3321,7868,4394,3474,100Y06M,ShiDing
2456,6542,3642,2900,100Y06M,PingLin
8936,23362,12070,11292,100Y06M,SanZhi
4126,12726,6672,6054,100Y06M,ShiMen
12457,35081,17754,17327,100Y06M,BaLi
2402,5244,2938,2306,100Y06M,PingXi
3816,9630,5232,4398,100Y06M,ShuangXi
4407,13589,6999,6590,100Y06M,GongLiao
6750,22317,11179,11138,100Y06M,JinShan
7051,21963,11122,10841,100Y06M,WanLi
1698,5798,2923,2875,100Y06M,WuLai
