M_F_RAT,P_H_CNT,P_DEN,DEPENDENCY_RAT,A0A14_A15A65_RAT,A65UP_A15A64_RAT,A65_A0A14_RAT,INFO_TIME,DISTRICT
96.2,2.72,24040.88,31.9,18.88,13.02,68.95,103Y06M,BanQiao
98.0,2.66,23854.57,29.84,16.68,13.16,78.91,103Y06M,SanChong
95.83,2.57,20592.09,29.37,15.15,14.22,93.87,103Y06M,ZhongHe
91.14,2.52,39978.65,35.6,18.16,17.43,95.99,103Y06M,YongHe
96.43,2.82,20792.01,29.37,19.84,9.54,48.06,103Y06M,XinZhuang
94.07,2.45,2484.76,30.92,14.42,16.51,114.5,103Y06M,XinDian
100.28,2.84,5547.47,30.27,20.1,10.17,50.62,103Y06M,ShuLin
100.5,3.05,4202.5,31.79,20.76,11.03,53.14,103Y06M,YingGe
102.09,2.78,577.8,34.32,22.07,12.26,55.54,103Y06M,SanXia
93.16,2.35,2222.74,30.29,16.76,13.53,80.72,103Y06M,TamSui
96.65,2.32,2727.44,26.91,14.78,12.13,82.08,103Y06M,XiZhi
102.22,2.58,585.41,35.71,14.81,20.9,141.15,103Y06M,RuiFang
98.38,2.8,8083.62,26.06,17.08,8.98,52.55,103Y06M,TuCheng
97.05,2.91,26799.51,27.92,19.21,8.72,45.39,103Y06M,LuZhou
102.12,2.83,2348.87,29.59,18.57,11.02,59.32,103Y06M,WuGu
99.33,2.85,4079.01,31.59,21.55,10.04,46.61,103Y06M,TaiShan
96.17,2.59,1766.33,35.32,25.04,10.28,41.05,103Y06M,LinKou
100.66,2.54,1144.44,27.93,15.15,12.78,84.37,103Y06M,ShenKeng
122.47,2.33,54.67,40.66,14.81,25.85,174.49,103Y06M,ShiDing
127.21,2.6,37.53,44.9,12.99,31.91,245.57,103Y06M,PingLin
106.05,2.54,355.96,33.98,15.95,18.04,113.09,103Y06M,SanZhi
108.71,2.97,246.72,35.78,17.33,18.45,106.51,103Y06M,ShiMen
100.93,2.7,924.69,28.67,16.83,11.84,70.35,103Y06M,BaLi
123.36,2.1,69.82,51.77,10.39,41.38,398.24,103Y06M,PingXi
116.12,2.45,64.45,45.74,12.85,32.89,255.96,103Y06M,ShuangXi
105.12,2.97,132.32,40.35,13.05,27.3,209.19,103Y06M,GongLiao
98.55,3.2,454.25,34.01,16.62,17.39,104.65,103Y06M,JinShan
102.26,3.07,354.94,36.03,16.3,19.73,121.08,103Y06M,WanLi
98.76,3.43,18.93,34.2,20.71,13.49,65.14,103Y06M,WuLai
