RLH_CNT,RLH_H_RAC,RLP_CNT,RLP_P_RAC,INFO_TIME,DISTRICT
2377,11.55,5586,10.08,104Y12M,BanQiao
2596,17.48,6322,16.28,104Y12M,SanChong
2171,13.31,5073,12.24,104Y12M,ZhongHe
1044,11.51,2326,10.32,104Y12M,YongHe
2077,13.93,5621,13.6,104Y12M,XinZhuang
1374,11.09,2756,9.18,104Y12M,XinDian
1091,16.67,3000,16.28,104Y12M,ShuLin
712,24.2,1989,22.61,104Y12M,YingGe
843,20.49,2302,20.42,104Y12M,SanXia
700,9.96,1571,9.68,104Y12M,TamSui
891,10.48,2188,11.16,104Y12M,XiZhi
601,37.23,1237,30.19,104Y12M,RuiFang
1593,18.53,4233,17.73,104Y12M,TuCheng
1217,17.51,3294,16.46,104Y12M,LuZhou
489,16.33,1314,15.85,104Y12M,WuGu
229,8.18,577,7.33,104Y12M,TaiShan
254,6.49,677,6.75,104Y12M,LinKou
102,10.78,220,9.32,104Y12M,ShenKeng
63,18.68,131,16.68,104Y12M,ShiDing
34,13.63,69,10.63,104Y12M,PingLin
160,17.07,410,17.46,104Y12M,SanZhi
45,10.44,94,7.44,104Y12M,ShiMen
260,18.55,619,16.43,104Y12M,BaLi
95,40.39,212,43.5,104Y12M,PingXi
119,30.99,259,28.02,104Y12M,ShuangXi
156,35.44,373,29.0,104Y12M,GongLiao
150,21.36,347,15.59,104Y12M,JinShan
453,61.08,702,31.0,104Y12M,WanLi
92,50.25,287,46.39,104Y12M,WuLai
