H_CNT,P_CNT,M_CNT,F_CNT,INFO_TIME,DISTRICT
204899,555914,272300,283614,103Y12M,BanQiao
147402,389325,192412,196913,103Y12M,SanChong
162378,415226,202986,212240,103Y12M,ZhongHe
90687,227267,108243,119024,103Y12M,YongHe
147092,411711,201987,209724,103Y12M,XinZhuang
122810,299730,145091,154639,103Y12M,XinDian
65057,184167,92148,92019,103Y12M,ShuLin
29201,89075,44603,44472,103Y12M,YingGe
40345,111588,56280,55308,103Y12M,SanXia
68253,158953,76614,82339,103Y12M,TamSui
84229,195140,95721,99419,103Y12M,XiZhi
16088,41315,20859,20456,103Y12M,RuiFang
85549,239270,118591,120679,103Y12M,TuCheng
68922,199750,98311,101439,103Y12M,LuZhou
29305,82255,41533,40722,103Y12M,WuGu
27668,78370,39032,39338,103Y12M,TaiShan
37840,97645,47815,49830,103Y12M,LinKou
9330,23636,11861,11775,103Y12M,ShenKeng
3368,7864,4329,3535,103Y12M,ShiDing
2478,6455,3603,2852,103Y12M,PingLin
9279,23480,12085,11395,103Y12M,SanZhi
4283,12733,6627,6106,103Y12M,ShiMen
13764,37187,18613,18574,103Y12M,BaLi
2351,4954,2726,2228,103Y12M,PingXi
3842,9450,5073,4377,103Y12M,ShuangXi
4434,13115,6718,6397,103Y12M,GongLiao
7003,22400,11099,11301,103Y12M,JinShan
7369,22678,11417,11261,103Y12M,WanLi
1792,6165,3062,3103,103Y12M,WuLai
