M_F_RAT,P_H_CNT,P_DEN,DEPENDENCY_RAT,A0A14_A15A65_RAT,A65UP_A15A64_RAT,A65_A0A14_RAT,INFO_TIME,DISTRICT
95.91,2.7,23993.21,32.67,18.6,14.06,75.59,104Y06M,BanQiao
97.62,2.63,23809.65,30.38,16.32,14.06,86.14,104Y06M,SanChong
95.55,2.55,20578.24,30.45,15.05,15.4,102.31,104Y06M,ZhongHe
90.76,2.5,39678.5,36.65,17.87,18.78,105.05,104Y06M,YongHe
96.13,2.78,20891.52,29.87,19.43,10.44,53.72,104Y06M,XinZhuang
93.65,2.43,2492.45,31.67,13.99,17.68,126.41,104Y06M,XinDian
99.94,2.82,5554.93,30.47,19.57,10.89,55.65,104Y06M,ShuLin
100.67,3.01,4184.47,31.62,19.9,11.72,58.9,104Y06M,YingGe
101.51,2.75,585.31,34.06,21.34,12.72,59.62,104Y06M,SanXia
92.93,2.32,2270.76,30.91,16.41,14.5,88.35,104Y06M,TamSui
95.97,2.31,2742.65,27.36,14.4,12.96,90.03,104Y06M,XiZhi
102.39,2.55,579.98,35.54,14.36,21.18,147.55,104Y06M,RuiFang
98.1,2.78,8078.75,26.3,16.62,9.68,58.25,104Y06M,TuCheng
97.04,2.89,26864.33,27.97,18.55,9.43,50.83,104Y06M,LuZhou
102.0,2.78,2364.59,29.38,17.88,11.5,64.33,104Y06M,WuGu
99.14,2.82,4096.18,31.93,21.11,10.83,51.3,104Y06M,TaiShan
95.88,2.57,1827.78,35.72,24.75,10.96,44.29,104Y06M,LinKou
100.6,2.51,1144.92,27.7,14.2,13.51,95.15,104Y06M,ShenKeng
123.16,2.33,54.2,40.59,14.23,26.36,185.23,104Y06M,ShiDing
126.36,2.6,37.95,44.58,12.58,32.0,254.43,104Y06M,PingLin
106.09,2.52,355.64,33.75,14.98,18.77,125.34,104Y06M,SanZhi
108.26,2.94,246.8,35.87,16.78,19.08,113.69,104Y06M,ShiMen
100.09,2.69,944.16,28.9,16.46,12.44,75.59,104Y06M,BaLi
122.93,2.09,68.69,51.8,10.38,41.42,399.1,104Y06M,PingXi
117.28,2.43,63.72,47.1,12.91,34.19,264.79,104Y06M,ShuangXi
104.32,2.93,129.16,39.6,11.81,27.79,235.44,104Y06M,GongLiao
98.47,3.18,452.32,33.66,15.9,17.76,111.71,104Y06M,JinShan
101.57,3.06,356.6,36.42,15.72,20.69,131.59,104Y06M,WanLi
99.35,3.41,19.08,34.3,20.12,14.18,70.48,104Y06M,WuLai
