RLH_CNT,RLH_H_RAC,RLP_CNT,RLP_P_RAC,INFO_TIME,DISTRICT
3223,15.96,8256,14.81,101Y12M,BanQiao
2879,19.95,7421,19.02,101Y12M,SanChong
2101,13.15,5286,12.69,101Y12M,ZhongHe
1127,12.46,2592,11.23,101Y12M,YongHe
2196,15.46,6308,15.5,101Y12M,XinZhuang
1754,14.69,4024,13.52,101Y12M,XinDian
1030,16.19,2935,16.13,101Y12M,ShuLin
661,23.14,1941,21.97,101Y12M,YingGe
830,21.56,2419,22.44,101Y12M,SanXia
512,8.17,1089,7.23,101Y12M,TamSui
1025,12.5,2673,13.87,101Y12M,XiZhi
570,35.7,1166,28.02,101Y12M,RuiFang
1643,19.45,4507,18.8,101Y12M,TuCheng
1311,19.43,3616,18.13,101Y12M,LuZhou
396,14.0,1101,13.55,101Y12M,WuGu
194,7.19,528,6.8,101Y12M,TaiShan
352,10.35,1015,11.29,101Y12M,LinKou
107,11.63,258,10.95,101Y12M,ShenKeng
55,16.42,131,16.59,101Y12M,ShiDing
34,13.73,77,11.88,101Y12M,PingLin
151,16.63,403,17.18,101Y12M,SanZhi
64,15.11,152,11.88,101Y12M,ShiMen
269,20.78,689,19.29,101Y12M,BaLi
119,49.83,296,57.94,101Y12M,PingXi
138,35.99,285,30.11,101Y12M,ShuangXi
190,42.59,449,33.48,101Y12M,GongLiao
140,20.26,296,13.16,101Y12M,JinShan
480,66.12,778,34.69,101Y12M,WanLi
121,68.83,394,65.94,101Y12M,WuLai
