RLH_CNT,RLH_H_RAC,RLP_CNT,RLP_P_RAC,INFO_TIME,DISTRICT
1777,8.63,3896,7.04,105Y06M,BanQiao
2361,15.86,5512,14.21,105Y06M,SanChong
1922,11.78,4357,10.53,105Y06M,ZhongHe
942,10.39,2031,9.02,105Y06M,YongHe
1781,11.89,4705,11.37,105Y06M,XinZhuang
1188,9.57,2243,7.47,105Y06M,XinDian
960,14.64,2591,14.06,105Y06M,ShuLin
691,23.45,1957,22.34,105Y06M,YingGe
755,18.21,2038,17.97,105Y06M,SanXia
631,8.88,1337,8.17,105Y06M,TamSui
805,9.45,1938,9.87,105Y06M,XiZhi
555,34.37,1130,27.74,105Y06M,RuiFang
1417,16.47,3680,15.44,105Y06M,TuCheng
1096,15.72,2888,14.43,105Y06M,LuZhou
446,14.73,1131,13.56,105Y06M,WuGu
210,7.47,515,6.53,105Y06M,TaiShan
254,6.39,700,6.88,105Y06M,LinKou
100,10.53,213,9.02,105Y06M,ShenKeng
47,13.95,86,11.07,105Y06M,ShiDing
29,11.6,61,9.36,105Y06M,PingLin
159,16.98,409,17.5,105Y06M,SanZhi
45,10.46,88,7.01,105Y06M,ShiMen
234,16.55,519,13.72,105Y06M,BaLi
85,36.34,190,39.56,105Y06M,PingXi
119,31.14,255,27.84,105Y06M,ShuangXi
150,34.09,332,25.96,105Y06M,GongLiao
130,18.44,287,12.91,105Y06M,JinShan
378,50.86,548,24.29,105Y06M,WanLi
83,44.99,262,42.48,105Y06M,WuLai
