M_F_RAT,P_H_CNT,P_DEN,DEPENDENCY_RAT,A0A14_A15A65_RAT,A65UP_A15A64_RAT,A65_A0A14_RAT,INFO_TIME,DISTRICT
99.73,2.69,954.04,29.1,16.36,12.74,77.9,104Y12M,BanQiao
106.23,2.51,355.91,33.81,14.48,19.33,133.48,104Y12M,SanChong
97.49,2.62,23806.28,30.63,16.05,14.58,90.85,104Y12M,ZhongHe
101.24,2.74,588.7,33.94,20.91,13.04,62.35,104Y12M,YongHe
98.01,2.78,8075.8,26.36,16.24,10.12,62.33,104Y12M,XinZhuang
95.4,2.54,20567.12,30.9,14.87,16.03,107.79,104Y12M,XinDian
101.85,2.77,2378.53,29.17,17.42,11.75,67.44,104Y12M,ShuLin
123.27,2.07,68.32,52.07,10.39,41.68,401.2,104Y12M,YingGe
90.66,2.49,39449.93,37.0,17.45,19.55,112.0,104Y12M,SanXia
107.54,2.93,246.58,36.07,16.54,19.53,118.02,104Y12M,TamSui
123.22,2.33,54.42,40.37,13.88,26.48,190.73,104Y12M,XiZhi
95.78,2.31,2751.83,27.38,14.0,13.38,95.54,104Y12M,RuiFang
125.97,2.6,37.99,44.77,12.42,32.34,260.32,104Y12M,TuCheng
95.9,2.56,1853.12,35.85,24.42,11.43,46.8,104Y12M,LuZhou
95.8,2.69,23954.22,33.06,18.39,14.67,79.78,104Y12M,WuGu
98.11,3.17,452.32,33.6,15.57,18.03,115.81,104Y12M,TaiShan
98.98,2.81,4107.82,31.96,20.68,11.27,54.5,104Y12M,LinKou
98.62,3.38,19.27,35.53,20.66,14.87,72.0,104Y12M,ShenKeng
104.13,2.92,128.63,39.25,11.39,27.86,244.58,104Y12M,ShiDing
92.69,2.31,2295.91,31.2,16.2,15.0,92.63,104Y12M,PingLin
100.24,2.49,1146.53,27.69,13.65,14.03,102.77,104Y12M,SanZhi
93.55,2.42,2497.53,32.07,13.78,18.29,132.7,104Y12M,ShiMen
96.04,2.77,20936.1,29.97,19.06,10.91,57.26,104Y12M,BaLi
102.17,2.54,579.3,35.21,13.93,21.29,152.87,104Y12M,PingXi
101.62,3.05,357.26,36.8,15.86,20.94,132.04,104Y12M,ShuangXi
99.91,2.82,5561.6,30.58,19.23,11.35,58.98,104Y12M,GongLiao
117.53,2.41,63.21,46.75,12.37,34.38,278.05,104Y12M,JinShan
97.06,2.88,26912.21,27.82,18.04,9.79,54.26,104Y12M,WanLi
100.74,2.99,4164.06,31.49,19.32,12.16,62.95,104Y12M,WuLai
