C_CNT,C1_A_CNT,C1_B_CNT,C1_C_CNT,C1_D_CNT,C1_E_CNT,C1_F_CNT,C1_G_CNT,C1_H_CNT,C1_I_CNT,C1_J_CNT,C1_K_CNT,C1_L_CNT,C1_M_CNT,C1_N_CNT,C1_O_CNT,C1_P_CNT,C1_Q_CNT,C1_R_CNT,C1_S_CNT,INFO_TIME,DISTRICT
28034,39,5,2254,9,115,3030,13743,2233,1719,483,524,692,1051,547,0,29,7,316,1238,102Y12M,BanQiao
24876,18,1,4514,5,98,1827,13090,345,1450,307,355,457,712,397,0,16,7,316,961,102Y12M,SanChong
22223,32,9,3466,0,73,2290,10819,457,1307,450,382,395,850,521,0,14,1,263,894,102Y12M,ZhongHe
9561,19,1,447,3,25,914,5101,140,735,200,226,282,488,237,0,11,1,164,567,102Y12M,YongHe
22495,13,5,5695,5,124,1918,9998,401,1173,195,343,516,533,456,0,25,6,274,815,102Y12M,XinZhuang
13383,27,4,1137,4,54,1324,6703,268,1125,365,284,329,569,302,0,19,7,232,630,102Y12M,XinDian
11080,7,4,3656,5,67,731,4789,383,379,83,84,166,193,120,1,5,2,99,306,102Y12M,ShuLin
4216,4,5,813,5,18,396,2322,93,131,33,37,48,76,66,0,2,1,35,131,102Y12M,YingGe
4177,19,5,394,2,28,412,2227,155,341,38,47,86,96,74,0,8,2,43,200,102Y12M,SanXia
7339,313,2,565,3,20,653,3256,233,906,96,73,234,254,182,0,11,3,152,383,102Y12M,TamSui
10850,12,6,1480,2,41,1121,5398,311,656,223,174,229,403,241,0,9,6,143,395,102Y12M,XiZhi
1881,6,4,121,2,10,246,977,49,279,8,9,8,20,40,0,0,3,31,68,102Y12M,RuiFang
10714,12,4,1815,3,51,1280,4883,738,575,106,130,157,260,190,0,2,3,125,380,102Y12M,TuCheng
9066,4,2,1405,1,50,931,4655,135,614,68,115,234,206,139,0,6,0,114,387,102Y12M,LuZhou
5343,11,3,1713,2,36,403,2259,92,145,37,103,169,91,68,0,2,3,56,150,102Y12M,WuGu
3802,3,3,755,1,26,354,1864,98,219,26,45,57,85,67,0,3,0,56,140,102Y12M,TaiShan
3928,5,3,429,12,24,387,1934,98,269,56,86,234,122,76,0,0,2,57,134,102Y12M,LinKou
1193,1,0,109,0,4,124,607,37,127,21,18,18,44,25,0,0,0,22,36,102Y12M,ShenKeng
154,1,0,20,0,1,13,80,2,28,2,1,0,2,1,0,0,0,2,1,102Y12M,ShiDing
195,0,0,21,0,0,5,122,2,20,0,1,2,0,14,0,0,0,2,6,102Y12M,PingLin
962,5,0,86,0,4,161,405,33,128,5,5,12,31,13,0,2,0,18,54,102Y12M,SanZhi
241,11,0,10,1,2,43,80,17,44,0,2,7,3,6,0,0,0,4,11,102Y12M,ShiMen
1590,5,3,270,0,18,197,714,68,103,11,13,34,36,29,1,0,0,29,59,102Y12M,BaLi
177,2,1,4,0,2,10,106,3,36,2,0,0,1,1,0,0,0,6,3,102Y12M,PingXi
240,0,0,34,0,2,25,124,4,27,0,0,1,2,7,0,0,0,6,8,102Y12M,ShuangXi
356,4,0,12,1,1,66,148,19,57,3,0,1,6,20,0,0,0,8,10,102Y12M,GongLiao
935,70,2,48,0,6,193,369,27,114,2,3,7,10,14,0,0,0,14,56,102Y12M,JinShan
915,283,2,29,1,1,87,291,32,111,7,4,3,12,16,0,0,0,14,22,102Y12M,WanLi
199,0,0,1,0,0,7,79,4,80,0,1,0,2,0,0,0,0,8,17,102Y12M,WuLai
