C_CNT,C1_A_CNT,C1_B_CNT,C1_C_CNT,C1_D_CNT,C1_E_CNT,C1_F_CNT,C1_G_CNT,C1_H_CNT,C1_I_CNT,C1_J_CNT,C1_K_CNT,C1_L_CNT,C1_M_CNT,C1_N_CNT,C1_O_CNT,C1_P_CNT,C1_Q_CNT,C1_R_CNT,C1_S_CNT,INFO_TIME,DISTRICT
28697,42,9,2566,7,122,3272,13423,2072,1871,489,610,728,1132,552,0,40,13,403,1346,104Y06M,BanQiao
25434,24,3,4561,7,97,2007,13054,362,1467,330,418,537,759,395,0,22,6,381,1004,104Y06M,SanChong
23154,38,6,3527,4,69,2437,11232,457,1367,459,449,446,934,466,0,18,3,346,896,104Y06M,ZhongHe
10006,24,1,468,2,29,946,5181,144,818,209,268,308,546,238,0,20,1,223,580,104Y06M,YongHe
23602,17,6,5941,5,104,2185,10016,418,1431,215,381,612,567,414,0,29,7,336,918,104Y06M,XinZhuang
14158,33,5,1154,3,42,1415,6939,252,1219,405,362,366,671,297,0,30,6,299,660,104Y06M,XinDian
11454,13,6,4110,4,69,836,4370,394,446,83,115,200,215,137,0,4,1,133,318,104Y06M,ShuLin
4491,3,8,911,3,21,486,2319,102,158,33,49,71,71,66,0,2,1,49,138,104Y06M,YingGe
4479,21,6,444,2,24,453,2326,159,373,39,55,96,96,88,1,7,2,70,217,104Y06M,SanXia
7885,281,2,606,3,21,746,3487,208,975,116,103,246,308,177,0,14,3,181,408,104Y06M,TamSui
11713,18,6,1521,6,43,1319,5663,328,770,249,205,268,470,213,0,16,8,168,442,104Y06M,XiZhi
1927,8,6,118,2,6,280,980,60,270,5,12,11,23,38,0,0,2,32,74,104Y06M,RuiFang
11229,12,4,1932,4,49,1433,4958,716,615,119,159,172,286,198,0,9,1,165,397,104Y06M,TuCheng
9571,5,4,1646,1,48,1085,4554,148,638,88,141,266,219,154,0,7,1,151,415,104Y06M,LuZhou
5612,10,4,1859,2,30,465,2207,107,181,41,118,205,104,60,0,1,4,55,159,104Y06M,WuGu
4026,5,4,795,0,27,418,1893,98,265,24,47,60,101,60,0,3,1,75,150,104Y06M,TaiShan
4585,11,6,484,12,23,444,2191,116,353,56,119,272,169,77,0,3,2,76,171,104Y06M,LinKou
1286,5,0,116,1,4,147,640,38,134,26,20,18,46,21,0,0,0,27,43,104Y06M,ShenKeng
166,1,0,21,0,1,17,83,0,32,2,3,0,2,1,0,0,0,2,1,104Y06M,ShiDing
202,0,0,16,0,0,5,129,2,22,0,2,3,0,13,0,0,0,4,6,104Y06M,PingLin
985,6,1,107,0,4,182,395,30,126,4,7,12,23,16,0,0,0,17,55,104Y06M,SanZhi
241,9,0,11,1,1,48,81,13,47,0,2,7,4,4,0,0,0,5,8,104Y06M,ShiMen
1796,5,3,312,0,19,231,754,73,123,13,23,53,41,47,1,0,0,36,62,104Y06M,BaLi
197,1,1,4,0,2,16,108,5,45,1,2,1,2,0,0,0,0,5,4,104Y06M,PingXi
246,0,0,31,0,2,29,130,2,32,0,1,1,2,5,0,0,0,4,7,104Y06M,ShuangXi
353,2,0,12,1,2,60,146,18,58,4,3,1,3,26,0,0,0,6,11,104Y06M,GongLiao
943,69,2,46,0,4,192,378,26,115,2,5,6,7,14,0,1,0,18,58,104Y06M,JinShan
753,101,2,26,1,1,96,292,29,122,4,6,3,13,18,0,0,0,16,23,104Y06M,WanLi
218,1,0,2,1,0,8,81,4,91,0,2,0,1,0,0,0,1,10,16,104Y06M,WuLai
