C_CNT,C1_A_CNT,C1_B_CNT,C1_C_CNT,C1_D_CNT,C1_E_CNT,C1_F_CNT,C1_G_CNT,C1_H_CNT,C1_I_CNT,C1_J_CNT,C1_K_CNT,C1_L_CNT,C1_M_CNT,C1_N_CNT,C1_O_CNT,C1_P_CNT,C1_Q_CNT,C1_R_CNT,C1_S_CNT,INFO_TIME,DISTRICT
27583,25,14,1722,12,133,2798,14369,2359,1668,472,491,566,961,460,0,28,9,332,1164,100Y06M,BanQiao
24581,13,1,4463,6,100,1673,13351,339,1402,306,331,419,673,309,0,14,4,288,889,100Y06M,SanChong
21353,19,7,2484,2,75,2107,11576,427,1262,450,349,323,779,449,0,6,4,264,770,100Y06M,ZhongHe
9196,15,1,193,0,40,854,5259,117,686,233,193,266,444,215,0,11,2,161,506,100Y06M,YongHe
21581,8,6,5451,4,122,1768,9944,347,1011,188,309,452,492,413,0,16,2,288,760,100Y06M,XinZhuang
12676,19,7,1040,3,64,1140,6672,244,1014,335,284,256,512,266,0,13,8,221,578,100Y06M,XinDian
10689,8,3,3519,6,61,678,4655,454,376,61,83,122,184,113,1,5,2,92,266,100Y06M,ShuLin
3995,5,6,679,3,21,335,2340,91,136,21,33,35,66,51,0,3,1,35,134,100Y06M,YingGe
3842,12,3,369,2,27,367,2051,155,328,31,39,66,86,68,1,3,2,49,183,100Y06M,SanXia
7172,512,1,507,2,17,579,3132,246,924,82,68,190,200,160,0,10,2,156,384,100Y06M,TamSui
10133,8,4,1413,3,45,961,5193,284,626,186,134,201,348,223,0,5,7,136,356,100Y06M,XiZhi
1915,7,5,119,2,9,238,1032,50,265,7,7,9,20,41,0,0,3,32,69,100Y06M,RuiFang
10234,13,2,1429,2,70,1070,5144,745,555,93,120,128,241,157,0,3,1,130,331,100Y06M,TuCheng
8679,4,4,1324,0,48,853,4588,119,562,79,100,221,198,121,0,7,0,105,346,100Y06M,LuZhou
4982,3,2,1656,3,30,344,2167,76,133,33,79,144,78,53,0,1,2,54,124,100Y06M,WuGu
3563,3,0,704,2,22,316,1863,75,164,26,33,47,67,59,0,2,0,48,132,100Y06M,TaiShan
3380,2,1,360,13,19,360,1779,78,189,38,61,178,90,59,0,0,0,52,101,100Y06M,LinKou
1076,0,0,105,0,6,105,571,32,96,23,16,12,39,22,0,0,0,19,30,100Y06M,ShenKeng
154,1,0,25,0,1,10,76,2,28,2,1,0,1,2,0,0,0,2,3,100Y06M,ShiDing
198,0,0,26,0,0,3,121,2,22,0,1,2,0,13,0,0,0,2,6,100Y06M,PingLin
939,11,0,80,0,5,147,398,39,136,1,2,11,26,13,0,1,0,16,53,100Y06M,SanZhi
264,31,0,12,1,1,44,83,19,44,1,0,2,3,3,0,0,0,6,14,100Y06M,ShiMen
1475,3,0,198,0,16,162,738,67,114,6,5,23,34,30,1,0,0,26,52,100Y06M,BaLi
161,2,1,4,0,1,12,96,4,30,1,0,0,1,0,0,0,0,5,4,100Y06M,PingXi
248,0,0,42,0,2,23,132,5,19,0,0,1,2,6,0,0,0,7,9,100Y06M,ShuangXi
379,1,0,14,2,3,68,153,27,67,2,0,1,5,20,0,0,0,7,9,100Y06M,GongLiao
1028,135,3,53,0,7,170,394,29,123,2,1,6,12,23,0,0,0,14,56,100Y06M,JinShan
1067,408,3,26,1,2,68,318,37,120,4,2,3,15,18,1,0,0,16,25,100Y06M,WanLi
202,0,0,2,0,0,12,79,3,78,0,1,0,2,1,0,0,0,10,14,100Y06M,WuLai
