M_F_RAT,P_H_CNT,P_DEN,DEPENDENCY_RAT,A0A14_A15A65_RAT,A65UP_A15A64_RAT,A65_A0A14_RAT,INFO_TIME,DISTRICT
96.01,2.71,24026.74,32.32,18.81,13.51,71.83,103Y12M,BanQiao
97.71,2.64,23860.08,30.14,16.54,13.6,82.2,103Y12M,SanChong
95.64,2.56,20612.89,29.97,15.17,14.81,97.62,103Y12M,ZhongHe
90.94,2.51,39775.11,36.07,17.99,18.09,100.55,103Y12M,YongHe
96.31,2.8,20858.48,29.67,19.7,9.98,50.65,103Y12M,XinZhuang
93.83,2.44,2493.07,31.34,14.27,17.07,119.64,103Y12M,XinDian
100.14,2.83,5559.12,30.45,19.92,10.53,52.88,103Y12M,ShuLin
100.29,3.05,4216.61,31.84,20.52,11.32,55.2,103Y12M,YingGe
101.76,2.77,582.85,34.22,21.75,12.46,57.28,103Y12M,SanXia
93.05,2.33,2249.66,30.59,16.6,13.99,84.26,103Y12M,TamSui
96.28,2.32,2739.37,27.15,14.61,12.54,85.82,103Y12M,XiZhi
101.97,2.57,584.09,35.75,14.72,21.03,142.83,103Y12M,RuiFang
98.27,2.8,8094.99,26.23,16.91,9.32,55.09,103Y12M,TuCheng
96.92,2.9,26865.81,28.0,18.95,9.05,47.76,103Y12M,LuZhou
101.99,2.81,2359.36,29.45,18.23,11.22,61.55,103Y12M,WuGu
99.22,2.83,4090.23,31.74,21.34,10.39,48.7,103Y12M,TaiShan
95.96,2.58,1803.17,35.54,24.94,10.61,42.54,103Y12M,LinKou
100.73,2.53,1148.57,27.76,14.7,13.06,88.82,103Y12M,ShenKeng
122.46,2.33,54.48,40.38,14.41,25.97,180.3,103Y12M,ShiDing
126.33,2.6,37.78,44.6,13.04,31.56,242.1,103Y12M,PingLin
106.06,2.53,355.81,33.83,15.47,18.35,118.6,103Y12M,SanZhi
108.53,2.97,248.38,36.17,17.58,18.59,105.72,103Y12M,ShiMen
100.21,2.7,941.6,29.07,16.97,12.1,71.27,103Y12M,BaLi
122.35,2.11,69.44,51.54,10.49,41.05,391.25,103Y12M,PingXi
115.9,2.46,64.62,46.49,13.1,33.39,254.91,103Y12M,ShuangXi
105.02,2.96,131.18,40.34,12.81,27.53,214.95,103Y12M,GongLiao
98.21,3.2,455.16,33.93,16.5,17.43,105.62,103Y12M,JinShan
101.39,3.08,357.83,36.61,16.47,20.13,122.19,103Y12M,WanLi
98.68,3.44,19.2,34.7,21.06,13.63,64.73,103Y12M,WuLai
