C_CNT,C1_A_CNT,C1_B_CNT,C1_C_CNT,C1_D_CNT,C1_E_CNT,C1_F_CNT,C1_G_CNT,C1_H_CNT,C1_I_CNT,C1_J_CNT,C1_K_CNT,C1_L_CNT,C1_M_CNT,C1_N_CNT,C1_O_CNT,C1_P_CNT,C1_Q_CNT,C1_R_CNT,C1_S_CNT,INFO_TIME,DISTRICT
28379,39,7,2610,8,114,3236,13317,2118,1792,488,586,704,1095,540,0,31,11,382,1301,103Y06M,BanQiao
25104,16,2,4529,9,98,1902,12993,359,1460,315,394,525,725,389,0,19,6,381,982,103Y06M,SanChong
22723,42,11,3482,3,70,2417,11037,456,1337,438,404,439,887,457,0,15,2,331,895,103Y06M,ZhongHe
9837,23,1,458,3,25,945,5145,139,785,200,243,319,516,234,0,17,2,221,561,103Y06M,YongHe
23041,15,6,5977,6,111,2084,9854,402,1257,190,365,580,533,423,0,28,7,337,866,103Y06M,XinZhuang
13758,31,4,1160,3,49,1373,6823,249,1149,384,314,355,640,293,0,25,5,272,629,103Y06M,XinDian
11234,8,3,4110,4,64,797,4311,388,419,72,96,202,208,120,0,6,1,121,304,103Y06M,ShuLin
4309,2,6,883,4,22,461,2232,97,143,32,49,66,70,64,0,0,1,43,134,103Y06M,YingGe
4337,20,5,433,2,23,442,2258,150,360,39,55,94,100,75,1,7,2,64,207,103Y06M,SanXia
7618,282,3,583,3,22,712,3366,207,933,110,86,263,286,170,0,13,2,180,397,103Y06M,TamSui
11324,15,6,1523,4,40,1240,5485,328,741,236,189,257,432,210,0,12,8,176,422,103Y06M,XiZhi
1893,8,4,120,2,9,270,972,53,272,8,12,11,19,32,0,0,2,28,71,103Y06M,RuiFang
11003,11,4,1918,4,47,1381,4870,717,592,118,152,182,262,189,0,5,1,168,382,103Y06M,TuCheng
9358,5,3,1535,1,51,1023,4571,139,631,79,141,253,211,144,0,7,0,157,407,103Y06M,LuZhou
5500,9,3,1839,1,31,455,2150,109,182,34,111,196,91,64,0,2,3,62,158,103Y06M,WuGu
3893,5,5,767,1,26,378,1879,91,240,22,42,59,92,61,0,3,0,73,149,103Y06M,TaiShan
4257,8,5,447,11,25,409,2062,104,303,56,106,262,159,79,0,2,2,70,147,103Y06M,LinKou
1236,3,0,107,0,4,139,620,35,131,22,19,16,46,25,0,0,0,28,41,103Y06M,ShenKeng
162,1,0,20,0,1,16,83,0,30,2,3,0,2,1,0,0,0,2,1,103Y06M,ShiDing
199,0,4,15,0,0,5,120,2,24,0,2,3,0,14,0,0,0,4,6,103Y06M,PingLin
950,5,1,99,0,5,171,379,31,128,4,7,14,24,11,0,1,0,18,52,103Y06M,SanZhi
240,11,0,12,1,3,45,79,14,46,0,2,7,3,3,0,0,0,5,9,103Y06M,ShiMen
1714,5,3,305,0,19,223,732,68,114,12,18,48,37,36,1,0,0,32,61,103Y06M,BaLi
187,1,1,4,0,2,16,104,3,40,1,2,1,1,1,0,0,0,6,4,103Y06M,PingXi
250,1,0,33,0,3,28,129,2,32,0,1,1,2,5,0,0,0,5,8,103Y06M,ShuangXi
358,3,0,10,1,2,70,146,17,57,3,2,1,4,23,0,0,0,9,10,103Y06M,GongLiao
936,70,2,47,0,5,188,377,25,115,2,5,6,7,14,0,0,0,17,56,103Y06M,JinShan
749,99,3,28,1,1,94,288,30,120,7,5,2,13,18,0,0,1,16,23,103Y06M,WanLi
210,0,0,2,0,0,8,80,3,88,0,2,0,1,1,0,0,1,9,15,103Y06M,WuLai
