M_F_RAT,P_H_CNT,P_DEN,DEPENDENCY_RAT,A0A14_A15A65_RAT,A65UP_A15A64_RAT,A65_A0A14_RAT,INFO_TIME,DISTRICT
96.42,2.74,24070.22,31.4,18.92,12.47,65.91,102Y12M,BanQiao
98.19,2.67,23889.99,29.54,16.84,12.7,75.38,102Y12M,SanChong
96.07,2.58,20638.5,28.87,15.22,13.65,89.66,102Y12M,ZhongHe
91.25,2.53,40089.26,35.07,18.18,16.89,92.93,102Y12M,YongHe
96.73,2.83,20759.64,29.06,19.97,9.09,45.55,102Y12M,XinZhuang
94.26,2.47,2487.13,30.61,14.63,15.98,109.23,102Y12M,XinDian
100.34,2.85,5536.18,30.03,20.21,9.82,48.58,102Y12M,ShuLin
100.85,3.07,4195.87,31.65,20.91,10.73,51.31,102Y12M,YingGe
102.32,2.79,574.61,34.26,22.2,12.07,54.38,102Y12M,SanXia
93.33,2.37,2197.12,29.97,16.85,13.13,77.93,102Y12M,TamSui
96.7,2.33,2726.17,26.71,14.96,11.75,78.52,102Y12M,XiZhi
102.49,2.59,586.57,35.68,15.08,20.6,136.58,102Y12M,RuiFang
98.6,2.81,8094.58,25.92,17.29,8.63,49.9,102Y12M,TuCheng
97.28,2.93,26822.24,27.98,19.51,8.47,43.39,102Y12M,LuZhou
102.08,2.84,2344.71,29.74,18.95,10.79,56.94,102Y12M,WuGu
99.54,2.86,4067.73,31.14,21.49,9.65,44.91,102Y12M,TaiShan
96.59,2.61,1737.85,35.25,25.29,9.96,39.37,102Y12M,LinKou
100.92,2.55,1147.89,27.51,15.36,12.15,79.06,102Y12M,ShenKeng
122.95,2.33,54.37,41.43,15.71,25.72,163.65,102Y12M,ShiDing
127.54,2.61,37.81,44.62,13.5,31.12,230.51,102Y12M,PingLin
106.35,2.55,355.56,33.73,16.16,17.57,108.75,102Y12M,SanZhi
108.51,3.0,249.57,36.22,18.23,17.99,98.71,102Y12M,ShiMen
101.31,2.72,916.64,28.77,17.26,11.51,66.67,102Y12M,BaLi
124.71,2.1,70.12,51.16,10.85,40.31,371.59,102Y12M,PingXi
116.52,2.44,64.36,45.58,12.92,32.67,252.93,102Y12M,ShuangXi
105.15,2.99,133.1,40.26,13.52,26.73,197.66,102Y12M,GongLiao
98.86,3.23,455.0,34.04,17.09,16.95,99.16,102Y12M,JinShan
102.63,3.09,356.88,36.28,17.0,19.27,113.36,102Y12M,WanLi
98.75,3.39,18.8,34.58,21.47,13.11,61.06,102Y12M,WuLai
