C_CNT,C1_A_CNT,C1_B_CNT,C1_C_CNT,C1_D_CNT,C1_E_CNT,C1_F_CNT,C1_G_CNT,C1_H_CNT,C1_I_CNT,C1_J_CNT,C1_K_CNT,C1_L_CNT,C1_M_CNT,C1_N_CNT,C1_O_CNT,C1_P_CNT,C1_Q_CNT,C1_R_CNT,C1_S_CNT,INFO_TIME,DISTRICT
29014,40,10,2533,6,126,3356,13472,2026,2008,522,631,732,1132,558,0,48,13,415,1386,105Y06M,BanQiao
25732,25,3,4551,6,93,2031,13064,370,1579,344,437,575,786,413,0,29,6,387,1033,105Y06M,SanChong
23607,51,5,3498,3,70,2517,11403,470,1494,479,483,444,928,465,0,24,3,340,930,105Y06M,ZhongHe
10086,22,1,448,2,26,957,5151,147,897,223,293,309,552,226,0,21,1,197,613,105Y06M,YongHe
23927,16,6,5809,9,105,2245,10159,435,1559,240,392,589,603,421,0,35,7,353,944,105Y06M,XinZhuang
14519,36,6,1174,2,43,1494,6970,275,1285,427,384,390,695,289,0,31,6,308,704,105Y06M,XinDian
11665,13,7,4185,6,63,860,4430,388,480,84,127,192,218,143,0,5,2,143,319,105Y06M,ShuLin
4539,8,8,887,2,23,503,2349,101,177,35,46,70,73,64,0,3,1,48,141,105Y06M,YingGe
4739,21,6,446,2,25,494,2440,162,431,40,62,97,106,90,1,7,2,73,234,105Y06M,SanXia
8166,259,1,608,4,21,783,3623,205,1052,126,105,241,312,181,0,17,2,194,432,105Y06M,TamSui
12132,26,9,1527,4,42,1340,5852,346,844,271,233,248,499,220,0,17,8,172,474,105Y06M,XiZhi
1937,8,7,113,3,5,295,966,60,275,8,19,9,23,39,0,1,2,31,73,105Y06M,RuiFang
11549,18,7,1921,5,52,1533,5079,701,663,127,168,173,299,214,0,7,1,174,407,105Y06M,TuCheng
9780,7,4,1654,1,49,1107,4649,148,691,84,145,255,237,160,0,11,1,155,422,105Y06M,LuZhou
5784,14,5,1854,1,31,495,2280,111,187,40,133,216,113,69,0,1,3,62,169,105Y06M,WuGu
4092,6,3,792,0,28,428,1909,95,270,25,52,67,97,69,0,3,2,87,159,105Y06M,TaiShan
4860,9,4,489,13,28,457,2333,124,422,57,131,263,177,85,0,3,2,80,183,105Y06M,LinKou
1318,5,0,124,3,4,153,644,38,134,30,19,19,49,21,0,0,1,28,46,105Y06M,ShenKeng
172,0,0,24,0,1,15,86,0,34,2,3,0,2,1,0,0,0,3,1,105Y06M,ShiDing
204,0,0,15,0,0,7,130,3,25,0,2,2,1,10,0,0,0,3,6,105Y06M,PingLin
1050,6,1,108,0,4,191,412,30,147,5,8,14,27,15,0,0,0,22,60,105Y06M,SanZhi
231,7,0,8,1,3,43,80,12,45,0,2,7,4,5,0,0,0,5,9,105Y06M,ShiMen
1889,5,3,324,1,21,240,798,77,123,14,23,52,45,54,1,1,0,38,69,105Y06M,BaLi
204,0,1,5,0,2,16,112,3,46,2,2,1,2,2,0,0,0,6,4,105Y06M,PingXi
243,0,0,30,0,1,30,127,2,35,0,1,1,2,4,0,0,0,4,6,105Y06M,ShuangXi
355,3,0,13,1,2,56,141,17,61,4,4,2,4,28,0,0,0,7,12,105Y06M,GongLiao
964,70,1,47,0,7,193,377,23,133,4,5,8,7,13,0,1,0,18,57,105Y06M,JinShan
769,99,2,27,1,2,103,293,28,130,4,5,3,13,19,0,1,0,16,23,105Y06M,WanLi
215,1,0,3,1,0,9,80,4,90,0,2,0,0,0,0,0,1,8,16,105Y06M,WuLai
