RLH_CNT,RLH_H_RAC,RLP_CNT,RLP_P_RAC,INFO_TIME,DISTRICT
1815,8.78,3978,7.2,105Y12M,BanQiao
2467,16.43,5685,14.63,105Y12M,SanChong
1998,12.16,4493,10.85,105Y12M,ZhongHe
945,10.41,2034,9.08,105Y12M,YongHe
1845,12.24,4830,11.66,105Y12M,XinZhuang
1241,9.91,2353,7.81,105Y12M,XinDian
1018,15.42,2717,14.73,105Y12M,ShuLin
726,24.56,2003,22.96,105Y12M,YingGe
767,18.27,2065,18.09,105Y12M,SanXia
662,9.14,1412,8.52,105Y12M,TamSui
849,9.87,2034,10.29,105Y12M,XiZhi
581,35.94,1190,29.31,105Y12M,RuiFang
1453,16.8,3741,15.69,105Y12M,TuCheng
1134,16.15,2955,14.72,105Y12M,LuZhou
474,15.42,1205,14.32,105Y12M,WuGu
214,7.58,528,6.7,105Y12M,TaiShan
260,6.41,711,6.89,105Y12M,LinKou
105,11.0,229,9.67,105Y12M,ShenKeng
48,14.27,91,11.76,105Y12M,ShiDing
30,11.9,63,9.64,105Y12M,PingLin
167,17.71,420,17.97,105Y12M,SanZhi
46,10.69,89,7.12,105Y12M,ShiMen
239,16.7,537,14.07,105Y12M,BaLi
85,36.51,190,39.77,105Y12M,PingXi
120,31.42,258,28.43,105Y12M,ShuangXi
150,34.0,338,26.6,105Y12M,GongLiao
132,18.65,288,12.97,105Y12M,JinShan
401,53.72,569,25.3,105Y12M,WanLi
84,45.23,272,43.79,105Y12M,WuLai
