M_F_RAT,P_H_CNT,P_DEN,DEPENDENCY_RAT,A0A14_A15A65_RAT,A65UP_A15A64_RAT,A65_A0A14_RAT,INFO_TIME,DISTRICT
96.52,2.75,24091.1,31.0,19.0,12.0,63.17,102Y06M,BanQiao
98.34,2.69,23889.01,29.31,16.99,12.32,72.55,102Y06M,SanChong
96.24,2.6,20641.08,28.46,15.3,13.16,86.05,102Y06M,ZhongHe
91.45,2.54,40332.0,34.63,18.4,16.23,88.2,102Y06M,YongHe
96.87,2.85,20690.74,28.87,20.15,8.72,43.27,102Y06M,XinZhuang
94.55,2.48,2474.48,30.24,14.76,15.48,104.93,102Y06M,XinDian
100.46,2.86,5520.42,29.96,20.48,9.48,46.31,102Y06M,ShuLin
100.84,3.09,4185.7,31.52,21.14,10.38,49.08,102Y06M,YingGe
102.54,2.8,568.61,34.4,22.46,11.94,53.14,102Y06M,SanXia
93.62,2.39,2163.81,29.92,17.12,12.8,74.78,102Y06M,TamSui
97.12,2.35,2713.72,26.49,15.11,11.37,75.25,102Y06M,XiZhi
102.8,2.6,587.39,35.58,15.12,20.47,135.41,102Y06M,RuiFang
98.86,2.83,8102.8,25.8,17.46,8.33,47.71,102Y06M,TuCheng
97.45,2.94,26819.01,28.01,19.83,8.18,41.26,102Y06M,LuZhou
102.23,2.87,2334.84,29.76,19.23,10.54,54.82,102Y06M,WuGu
99.87,2.87,4060.06,30.96,21.75,9.2,42.3,102Y06M,TaiShan
96.96,2.63,1698.06,35.54,25.77,9.77,37.89,102Y06M,LinKou
101.14,2.56,1145.94,27.48,15.72,11.76,74.83,102Y06M,ShenKeng
122.6,2.34,54.31,41.18,15.74,25.45,161.67,102Y06M,ShiDing
127.1,2.61,37.87,44.52,13.29,31.23,234.96,102Y06M,PingLin
106.21,2.57,356.02,33.81,16.8,17.01,101.22,102Y06M,SanZhi
109.36,2.99,248.18,35.64,17.94,17.7,98.63,102Y06M,ShiMen
101.7,2.74,907.98,28.77,17.36,11.4,65.69,102Y06M,BaLi
125.35,2.11,70.54,50.84,10.73,40.11,373.74,102Y06M,PingXi
116.73,2.44,64.58,45.91,13.1,32.81,250.47,102Y06M,ShuangXi
105.82,2.99,133.35,40.19,13.73,26.46,192.65,102Y06M,GongLiao
99.16,3.24,454.31,34.01,17.18,16.83,97.98,102Y06M,JinShan
102.75,3.08,353.76,35.76,16.77,19.0,113.29,102Y06M,WanLi
99.29,3.38,18.48,33.69,20.66,13.02,63.03,102Y06M,WuLai
