RLH_CNT,RLH_H_RAC,RLP_CNT,RLP_P_RAC,INFO_TIME,DISTRICT
2846,13.94,7020,12.62,103Y06M,BanQiao
2517,17.17,6378,16.39,103Y06M,SanChong
2042,12.64,4957,11.95,103Y06M,ZhongHe
1116,12.3,2565,11.23,103Y06M,YongHe
2247,15.41,6297,15.34,103Y06M,XinZhuang
1575,12.93,3452,11.56,103Y06M,XinDian
1015,15.68,2836,15.43,103Y06M,ShuLin
702,24.15,2038,22.96,103Y06M,YingGe
817,20.51,2285,20.66,103Y06M,SanXia
607,9.08,1365,8.69,103Y06M,TamSui
947,11.33,2456,12.64,103Y06M,XiZhi
575,35.86,1188,28.69,103Y06M,RuiFang
1486,17.44,4045,16.93,103Y06M,TuCheng
1149,16.77,3179,15.95,103Y06M,LuZhou
438,15.11,1196,14.61,103Y06M,WuGu
209,7.62,546,6.99,103Y06M,TaiShan
271,7.35,755,7.89,103Y06M,LinKou
103,11.1,242,10.28,103Y06M,ShenKeng
59,17.44,121,15.33,103Y06M,ShiDing
34,13.77,71,11.07,103Y06M,PingLin
151,16.35,390,16.6,103Y06M,SanZhi
61,14.32,136,10.75,103Y06M,ShiMen
260,19.24,602,16.48,103Y06M,BaLi
98,41.39,225,45.17,103Y06M,PingXi
120,31.17,260,27.59,103Y06M,ShuangXi
151,33.92,354,26.76,103Y06M,GongLiao
148,21.18,332,14.85,103Y06M,JinShan
427,58.28,667,29.65,103Y06M,WanLi
92,51.89,291,47.88,103Y06M,WuLai
