RLH_CNT,RLH_H_RAC,RLP_CNT,RLP_P_RAC,INFO_TIME,DISTRICT
3115,15.37,7843,14.07,102Y06M,BanQiao
2772,19.12,7085,18.18,102Y06M,SanChong
2150,13.44,5302,12.75,102Y06M,ZhongHe
1111,12.26,2528,10.97,102Y06M,YongHe
2218,15.5,6169,15.11,102Y06M,XinZhuang
1743,14.55,3853,12.95,102Y06M,XinDian
917,14.35,2534,13.86,102Y06M,ShuLin
655,22.86,1810,20.47,102Y06M,YingGe
708,18.22,1956,17.97,102Y06M,SanXia
528,8.27,1127,7.37,102Y06M,TamSui
880,10.68,2261,11.7,102Y06M,XiZhi
563,35.21,1134,27.29,102Y06M,RuiFang
1471,17.36,3978,16.61,102Y06M,TuCheng
1198,17.69,3264,16.37,102Y06M,LuZhou
379,13.35,1003,12.32,102Y06M,WuGu
193,7.13,518,6.66,102Y06M,TaiShan
285,8.14,800,8.7,102Y06M,LinKou
107,11.61,261,11.07,102Y06M,ShenKeng
54,16.1,114,14.54,102Y06M,ShiDing
31,12.5,62,9.58,102Y06M,PingLin
134,14.68,344,14.64,102Y06M,SanZhi
59,13.89,140,11.0,102Y06M,ShiMen
211,16.1,502,14.0,102Y06M,BaLi
112,46.88,244,48.49,102Y06M,PingXi
125,32.25,263,27.85,102Y06M,ShuangXi
153,34.35,356,26.7,102Y06M,GongLiao
127,18.4,287,12.84,102Y06M,JinShan
413,56.67,623,27.79,102Y06M,WanLi
24,13.68,54,9.1,102Y06M,WuLai
