H_CNT,P_CNT,M_CNT,F_CNT,INFO_TIME,DISTRICT
205379,555138,271775,283363,104Y06M,BanQiao
147882,388502,191909,196593,104Y06M,SanChong
162672,414528,202544,211984,104Y06M,ZhongHe
90744,226715,107868,118847,104Y06M,YongHe
148136,412363,202115,210248,104Y06M,XinZhuang
123333,299656,144912,154744,104Y06M,XinDian
65236,184028,91986,92042,104Y06M,ShuLin
29345,88396,44346,44050,104Y06M,YingGe
40758,112059,56450,55609,104Y06M,SanXia
69261,160444,77281,83163,104Y06M,TamSui
84587,195374,95679,99695,104Y06M,XiZhi
16068,41024,20754,20270,104Y06M,RuiFang
85742,238790,118247,120543,104Y06M,TuCheng
69212,199739,98367,101372,104Y06M,LuZhou
29610,82437,41626,40811,104Y06M,WuGu
27835,78484,39073,39411,104Y06M,TaiShan
38529,98978,48448,50530,104Y06M,LinKou
9382,23561,11816,11745,104Y06M,ShenKeng
3364,7824,4318,3506,104Y06M,ShiDing
2495,6483,3619,2864,104Y06M,PingLin
9315,23469,12081,11388,104Y06M,SanZhi
4306,12652,6577,6075,104Y06M,ShiMen
13884,37288,18652,18636,104Y06M,BaLi
2350,4900,2702,2198,104Y06M,PingXi
3829,9319,5030,4289,104Y06M,ShuangXi
4402,12913,6593,6320,104Y06M,GongLiao
7003,22260,11044,11216,104Y06M,JinShan
7387,22600,11388,11212,104Y06M,WanLi
1798,6128,3054,3074,104Y06M,WuLai
