H_CNT,P_CNT,M_CNT,F_CNT,INFO_TIME,DISTRICT
202726,557403,273771,283632,102Y06M,BanQiao
144948,389797,193270,196527,102Y06M,SanChong
159998,415794,203910,211884,102Y06M,ZhongHe
90623,230449,110076,120373,102Y06M,YongHe
143080,408400,200953,207447,102Y06M,XinZhuang
119782,297495,144582,152913,102Y06M,XinDian
63901,182885,91652,91233,102Y06M,ShuLin
28650,88422,44395,44027,102Y06M,YingGe
38848,108861,55112,53749,102Y06M,SanXia
63879,152887,73924,78963,102Y06M,TamSui
82388,193313,95246,98067,102Y06M,XiZhi
15992,41548,21061,20487,102Y06M,RuiFang
84726,239501,119062,120439,102Y06M,TuCheng
67720,199402,98411,100991,102Y06M,LuZhou
28394,81400,41148,40252,102Y06M,WuGu
27074,77792,38871,38921,102Y06M,TaiShan
35009,91953,45266,46687,102Y06M,LinKou
9217,23582,11858,11724,102Y06M,ShenKeng
3354,7840,4318,3522,102Y06M,ShiDing
2480,6470,3621,2849,102Y06M,PingLin
9131,23494,12101,11393,102Y06M,SanZhi
4249,12723,6646,6077,102Y06M,ShiMen
13108,35859,18081,17778,102Y06M,BaLi
2389,5032,2799,2233,102Y06M,PingXi
3876,9445,5087,4358,102Y06M,ShuangXi
4454,13331,6854,6477,102Y06M,GongLiao
6902,22358,11132,11226,102Y06M,JinShan
7288,22420,11362,11058,102Y06M,WanLi
1755,5933,2956,2977,102Y06M,WuLai
